Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.113,muertes.121,muertes.total
220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,,1,1,,,2,,,,1,,4,,,1,2,4,,5,2,3,2,2,2,2,1,4,5,2,2,5,8,5,3,11,6,4,7,3,5,10,4,5,4,7,8,5,5,3,4,3,3,1,,,4,,,3,1,1,,,,1,,,,,,,,,,182
221,3,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,1,,,,,,1,,,,,,,,2,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,17
225,35,2,2,,,,,1,,,1,1,,,,1,1,,1,1,1,2,1,,1,3,,1,2,2,3,3,3,4,3,1,1,,4,5,2,2,1,2,,8,7,5,3,4,5,4,9,2,6,2,5,5,6,7,8,10,5,7,4,4,7,6,13,10,15,12,6,7,13,18,8,13,10,12,15,9,12,9,5,9,14,5,4,7,6,4,6,4,5,4,1,1,,,,,,,,,,,,,,,479
227,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,1,,1,1,1,,,1,1,,,,,2,,,,,,1,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,24
230,50,2,,1,4,2,2,,2,1,5,2,2,,1,1,5,2,2,3,2,1,2,6,6,3,2,4,2,7,2,3,5,6,4,5,9,9,9,7,5,13,9,10,9,12,16,6,18,13,12,12,18,16,15,20,26,22,25,21,19,16,25,25,23,24,21,28,47,36,36,35,41,34,32,37,31,34,35,31,34,24,34,26,30,22,32,27,16,17,20,15,8,6,11,9,3,8,,3,2,1,1,,,,,,,,,,1438
231,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,,,1,,1,,,,,,,,,1,,1,,2,1,2,,1,,1,1,3,2,,,,,1,1,,4,,,,,,,,1,,,2,,,1,,,,,,,,,,,,,,,36
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
233,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,1,1,,1,,1,1,1,,,1,1,,2,,,,2,1,,1,,1,,1,1,2,1,1,,2,,1,2,1,2,2,2,,3,2,,,1,,,2,4,2,2,,,,,,,,1,,,,,,,,,,,,,,,,,,55
235,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,2,,1,,1,,1,,,1,,1,1,,1,,1,2,1,2,1,1,1,4,1,2,,1,,1,1,,,1,,,2,2,4,2,,2,,2,,2,,,1,1,,,,,,,,,,,,,,,52
236,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,1,1,1,,,,1,3,,,,,,,2,1,,,1,3,3,2,2,2,1,2,1,2,2,,2,,2,,2,2,,1,,3,,,2,,,,,,,,,1,,,,,,,,,,,,,,,56
