Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.113,muertes.121,muertes.total
321,3,,,,,,,,,,,,,,,,,1,,,,,,,2,,,2,,,,,,,,,,2,1,,1,,,,,1,3,1,2,,,,,3,1,1,,,1,1,1,1,1,1,2,1,3,2,4,3,2,2,4,2,2,1,1,4,6,3,4,,2,1,2,2,3,1,3,1,2,,,,1,,,,,,,,,,,,,,,,,,94
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,1,,1,,2,,,,1,2,,,1,,1,,,,1,4,1,1,,2,,2,,2,1,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,31
323,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,2,1,,,,1,,,2,1,1,1,2,1,,1,1,,1,1,,2,1,5,1,,1,1,,,1,2,2,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,40
324,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,1,,,1,,,1,2,,2,,1,2,1,1,,1,1,,,2,1,,,,1,,1,,,,1,1,,1,2,2,,1,,,,,,1,,,,,,,,,,,,,,34
325,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,,1,,,1,,1,,,,,,,,1,1,2,1,,,1,,,,1,1,,1,3,2,2,,1,2,,1,1,,1,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,36
330,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,2,,,,,,,,,,1,,,,1,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15
335,31,,3,1,1,,1,,1,2,,1,,1,,2,,1,2,1,2,4,3,4,1,3,8,6,3,4,5,5,1,3,9,3,6,6,6,6,7,6,12,6,11,8,8,8,7,9,7,8,11,8,13,8,12,13,17,15,18,6,20,10,21,26,12,16,13,24,21,27,31,25,28,19,27,32,27,20,26,20,23,26,22,31,24,19,12,20,9,9,12,12,5,4,2,2,3,1,2,,,1,1,,,,,,,,1039
336,6,,,,1,,,,,,,,,,,1,,,,,,1,,,,,1,1,1,,,1,,1,,,,2,1,,,,1,,,1,1,2,,,2,1,,3,2,5,,5,1,1,1,3,2,1,3,1,1,6,6,6,1,,3,1,1,3,4,2,3,3,1,2,1,1,5,3,1,1,3,,1,1,2,2,,1,,,1,,,,,,,,,,,,,,119
337,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,3,,,,1,,1,,,,,,1,,1,,,1,,,3,1,1,,1,1,,2,1,1,1,,1,2,3,2,1,,2,2,4,3,1,2,3,6,1,3,2,2,1,4,3,1,1,1,3,1,,,2,,,,,,,,1,,,,,,,,,,85
338,4,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,2,,,3,,,,1,1,,1,,1,,1,,2,1,,,,2,,1,3,4,,1,1,2,1,,,,2,2,3,3,1,1,,3,,,2,1,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,58
339,2,1,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,2,1,1,,1,2,,,1,2,,,1,1,,,,,2,,1,,2,1,2,,1,3,2,2,3,1,2,3,2,3,4,2,3,5,7,1,2,1,3,3,2,2,4,3,2,,5,1,2,3,6,1,2,,1,1,,1,2,,,,,,,,,,,,,,,,118
340,4,,2,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,1,,,1,,,,,,,,,,1,1,,1,2,2,,1,,,1,,2,1,3,2,2,1,,,,2,1,2,1,1,3,2,,1,3,2,1,3,4,,,3,,2,1,3,4,1,2,,,,,1,1,,,,,,,,,,,,,,,,,76
341,1,1,1,1,,,,,,1,,,,,,,,,1,,,,,,1,1,1,,,,,,2,2,2,2,,,1,1,,1,3,1,2,1,,,1,1,3,2,,,1,1,1,1,1,2,3,2,1,,3,2,,1,,,1,3,1,1,2,2,3,3,6,2,1,1,2,2,1,3,3,,,3,1,1,,,2,,,,,,,,,,1,,,,,,,,98
342,10,,2,1,,,1,,,1,1,,1,,,,,1,,1,2,,1,,1,4,3,1,1,1,1,3,1,3,1,3,,,2,1,3,2,,2,2,,5,2,,7,3,1,3,2,3,2,3,8,9,4,7,6,3,5,7,2,4,4,9,2,5,6,8,4,4,5,3,8,7,6,5,9,9,8,2,2,3,6,7,2,2,4,2,3,1,1,,1,1,,,,,,,,,,,,,,282
343,1,,1,,,,,,,,,,,,,,,,,,2,3,,,2,,,1,,,,,,,1,,,,,,1,2,1,,3,,2,,,,1,,1,2,1,2,,1,,2,1,1,,2,2,1,1,3,,4,,3,1,3,,,3,2,3,2,3,4,5,,,1,1,3,1,1,3,2,,,2,,,,,2,,,,,,,,,,,,,90
344,2,,1,,,,,,,,,,1,,,,1,,,,1,1,,,,,,,3,,,,,,,,1,,,1,1,,,,1,,,,,,,1,,,1,1,1,,1,1,,1,1,1,2,1,1,2,1,,2,2,,1,,1,3,2,1,3,2,2,4,1,1,2,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,64
345,4,,,1,,,,,,,1,,1,,,,,,,1,,1,,1,,,1,1,2,3,,2,,,1,2,,,1,1,2,,2,1,1,,4,,2,3,1,2,2,2,2,,4,2,3,4,5,3,2,6,5,2,3,3,5,7,5,4,13,3,,7,8,5,5,2,9,2,5,8,6,6,11,4,6,4,2,2,1,5,3,1,2,1,,1,,,,,,,,,,,,,233
346,6,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,1,,1,3,,2,,,1,,,1,2,1,1,,5,,1,1,,,3,1,4,2,2,2,4,1,,3,4,3,3,1,2,,6,4,1,2,1,1,3,5,2,2,1,,1,,,,,,,,,,,,,,,,97
347,3,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,2,,,,1,1,1,,,1,,,,,1,,,1,,1,1,1,,1,,1,,,1,,2,,2,2,,1,1,1,,1,3,1,1,3,2,2,4,4,2,,1,3,4,4,2,1,1,2,,1,,1,,,,,,,,1,1,,,,,,,,,,,,74
348,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,1,,2,,1,,1,,,,,2,,3,,1,1,3,1,1,,2,2,2,4,,3,1,3,2,3,2,2,2,3,1,,4,,3,6,4,1,4,,3,,2,3,2,3,1,,1,1,,,,,,,,,,,,,,,,,,95
349,2,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,,1,,,,,3,,,1,,1,,2,,1,2,,,,1,1,,1,,1,,,1,2,1,,,1,,4,2,,,1,,1,,,,,,,,,,,,,,,,,,,36
350,5,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,1,,1,2,3,,,1,3,,1,1,2,3,,,3,,4,1,2,2,1,1,3,,,4,7,1,4,3,2,,1,1,1,,2,2,5,2,1,3,1,1,2,2,,,,,,,,,,,,,,1,,,,,,,,90
351,2,,,,,,,,,,,,,,,,1,,,,1,,,,2,1,,1,,1,,,,,,,1,,,2,,1,,1,1,2,1,1,1,1,1,,,,,3,1,,,1,,,3,,2,,,1,2,2,1,2,1,2,2,2,1,2,4,3,1,2,3,1,1,4,1,2,3,1,2,,3,,1,2,,,,,,,,,,,,,,,,,84
355,15,,1,1,,,,,,,,,,,,,,,1,,2,1,2,1,1,,,1,1,,1,1,1,1,2,,1,1,4,1,3,1,3,1,4,3,3,3,3,,,3,4,7,1,3,4,1,2,2,5,1,3,10,3,7,7,10,3,11,6,12,19,8,16,12,12,8,16,5,5,9,11,8,9,7,9,9,10,5,7,3,1,3,4,2,,1,,,,,,,,,,,,,,,368
356,5,,1,,,,,,1,,2,,,,,1,,,,1,,1,,,1,,,,,1,1,,1,,,1,,,,,,2,,,2,2,,,,3,1,,1,3,,3,2,1,4,4,1,1,2,,1,3,3,1,4,3,6,7,7,6,8,7,2,10,4,4,3,2,5,7,3,7,4,8,4,1,2,2,,,1,,,1,,,,,,,,,,,,,,,175
357,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,2,,,,1,3,1,,,1,1,,1,1,2,,,,2,2,,1,,,1,1,,,,3,1,1,2,3,2,1,,2,1,1,2,,2,,2,1,4,,3,,,2,1,2,,1,3,2,,1,,,,,,,,,,,,,,,,,,70
358,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,2,1,1,,,,,,,,,,1,2,1,3,,,2,1,1,1,2,1,,,4,1,1,2,5,2,1,3,3,1,3,3,1,1,1,1,3,5,4,4,3,2,3,1,3,1,1,2,,2,2,2,1,,2,,,,,,,,,,,,,,,,97
359,,1,,,,,,,,,,,,,,,,,1,,1,1,1,,1,2,2,,,,,,,,,,,1,,,,,,,1,,,,2,1,1,1,1,,1,,,2,1,1,3,1,3,2,2,,,2,1,,2,4,1,1,1,1,5,7,4,1,5,3,3,4,2,4,6,2,4,3,5,1,,3,,2,,1,1,,,,,,,,,,,,,,113
360,3,,3,,1,,,1,,,,,,,,,,,,1,,,,1,,1,,,,1,,,1,,1,,,3,1,1,1,1,1,3,1,2,,4,,2,3,3,1,2,3,,2,2,4,5,5,4,1,2,2,2,5,5,,8,4,6,5,4,3,3,10,6,4,7,12,4,6,7,7,6,6,9,5,1,3,1,1,4,1,2,1,1,,,,,,,,,,,,,,,222
361,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,1,1,2,1,,,1,1,1,,,,,,1,3,,,,2,2,1,1,2,,1,2,1,2,1,,2,1,1,,,,,,,,,,,,,,,,,,,38
362,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,2,2,,3,2,,1,,,1,3,,2,1,1,1,1,2,1,,2,,2,,,,,,,,,,,,,,,,,,,,,35
363,2,,,,,,,,,,1,,,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,1,,,1,,1,1,2,1,,1,1,1,1,3,,1,,1,,2,,4,2,1,1,2,4,1,2,2,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,55
364,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,1,,,,,1,,,,,,,1,1,,,1,2,,,,,,1,3,1,,2,1,3,,2,,,2,2,1,1,1,,,2,3,2,2,3,1,1,1,3,1,,2,,1,1,,,,1,,,,,,,,,,,,,,,57
370,2,,,,,,,1,1,,,,,,,1,,,,,,1,,,,,,,,1,1,,,1,1,,1,,,,2,,1,,,,1,3,,,,,,1,1,2,,1,1,2,,3,1,2,2,,3,1,3,,2,,4,1,2,2,2,1,,2,,3,1,3,3,,,,2,,1,1,,,,2,,1,,,,,,,,,,,,,,,74
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,3,1,,,,,1,2,2,,,,3,1,,,3,2,,2,,4,,1,,1,3,,,,,,1,1,,,,,,,,,,,,,,,,,34
372,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,1,1,,1,,,,1,1,1,,,1,2,1,,,1,3,,,1,,,3,1,3,,1,,,1,,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,37
373,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,2,,,,1,1,3,1,2,,,,2,1,1,2,4,,,1,,,1,,2,1,,,,,,,,,,,,,,,,,,,33
374,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,,1,,1,1,,,,1,,,1,1,,2,1,2,1,1,2,1,3,,1,,1,1,1,1,2,1,2,1,,,,,,,,1,,,,,,,,,,,,37
375,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,1,1,1,,,,,,,1,3,1,1,,1,1,1,2,,,1,2,,,3,1,3,,1,2,1,3,1,2,,1,2,4,4,1,,,1,,2,1,1,,,,,,,,,,,,,,,,,,57
380,21,2,2,,,,1,1,1,,2,1,,2,,,2,,1,1,1,3,2,3,,2,1,2,2,,4,4,,1,2,2,3,5,3,7,6,5,4,4,3,10,3,7,2,10,7,6,5,7,10,8,10,5,3,7,13,7,18,12,12,9,8,13,17,10,25,11,15,20,12,12,17,16,18,16,17,15,18,16,14,10,20,9,15,9,14,7,6,6,7,2,5,3,1,1,,,,,1,,,,,,,,683
381,2,,,,,,,,1,,,,,,,,,,,1,,,,1,1,,,1,,,1,,1,,,,2,1,2,1,1,1,1,1,2,3,,2,1,,,1,4,1,1,2,1,3,,1,3,1,5,4,2,3,1,,3,4,1,3,,4,5,4,4,3,5,3,5,2,4,4,4,7,2,3,6,1,1,1,1,,2,,,,,,1,,1,,,,,,,,,,144
382,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,,,,,,1,,1,,,,,,1,,,,2,,,2,3,1,2,,,,1,,2,1,2,1,1,4,3,1,,3,5,2,3,2,1,,,1,1,1,1,3,2,3,,,,,,,,,,1,,,,,,,,,,,64
383,4,,,,,1,,,,1,,,,,,,,,1,2,,,,1,,1,1,,,,,2,1,3,3,,2,3,2,1,1,,1,3,5,2,1,,4,,,2,2,2,3,3,3,2,3,3,3,5,4,2,5,6,4,9,3,7,8,5,9,5,7,3,10,9,6,7,9,8,4,9,4,12,7,2,6,4,7,7,6,5,1,2,1,1,,2,,,,,,,,,,,,,283
384,4,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,2,,,1,2,2,,,1,,1,,1,1,1,4,1,2,2,1,1,,1,,,2,1,2,2,2,2,1,2,1,1,2,4,1,2,3,2,2,4,,5,2,5,5,3,4,2,2,2,2,1,2,2,,1,,,,,,,,,,,,,,,,108
385,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,1,1,,1,,,1,,,1,,,,,2,,,2,1,2,1,1,3,1,,1,3,5,3,2,1,2,1,3,,2,3,,1,4,3,1,3,3,1,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,72
386,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,1,,,1,,,,,,,1,,,,,,,,,,,1,3,,2,,,2,3,1,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,27
387,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,1,,,3,2,,1,2,2,1,2,,1,,,,2,1,,1,,1,,,,,,,1,,,,,,,,,,,,,,,29
388,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,1,1,,1,,,,,,,,1,,1,,1,2,1,1,,3,2,,2,1,,,1,1,,,1,,,1,,1,3,1,3,,2,,1,3,2,,2,1,1,,3,,,,1,,,,,,,,,,,,,,,,52
390,28,4,1,1,,1,1,1,,2,1,1,,1,,,1,,2,1,3,2,1,2,,4,,4,3,7,2,4,7,6,2,7,2,2,3,6,3,8,3,8,10,9,5,8,6,8,5,5,9,11,10,11,16,16,10,13,25,12,15,15,15,15,17,16,23,18,26,24,27,24,26,20,22,34,22,26,26,29,20,32,25,24,22,18,18,19,13,12,12,8,7,2,5,3,7,1,2,,1,1,1,,,,,,,,1017
391,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,1,,,1,,,,,,,1,,1,2,1,,,,2,,,1,1,1,,1,,3,,,,3,1,1,,,,,2,2,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,36
392,2,1,1,,,,,,,,,,1,,,,,,1,,,,1,,,,,1,,1,,,,2,2,2,1,,,1,,,1,,1,1,,,,1,,1,,1,1,2,1,1,2,1,1,,,1,1,2,,2,,,2,,4,1,1,4,1,2,1,1,2,1,2,2,,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,,69
393,7,,3,1,1,,,,,1,,,,,,,,,,1,1,,,1,1,1,,1,1,1,,,,1,,,2,,,1,2,1,,,2,1,3,,3,3,2,1,2,1,,3,1,2,3,,4,2,2,4,3,2,2,2,11,5,4,4,5,2,4,10,5,6,4,3,6,9,6,4,3,4,7,5,5,3,2,5,,1,1,1,2,,1,,,,,,,,,,,,,,204
394,2,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,1,1,1,,1,1,,,,,,,,,,1,,,1,,1,,1,1,,3,3,2,1,,2,2,2,,,2,,,,2,3,1,1,1,2,2,,2,2,2,1,4,5,3,1,1,3,2,1,1,,1,,1,,1,,,1,,,,,,,,,,,,,76
395,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,2,1,1,,1,,,,,1,,,,,1,,,,,,1,1,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,19
396,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,,2,2,1,1,1,1,4,1,,1,2,2,2,1,,1,1,1,1,,1,,1,,,1,,,,,,,,1,,,,,,,44
397,9,1,,,1,,1,,,,,,,1,,1,,,1,1,1,1,,,1,1,2,,1,1,,,,1,,2,,2,3,2,,1,,,1,2,2,,1,1,2,2,2,2,3,4,3,2,1,4,1,3,4,2,3,1,5,2,4,6,3,5,8,4,3,8,6,2,5,8,9,6,4,8,9,4,6,1,2,6,1,1,3,2,1,1,,,,,,,1,,,,,,,,,,215
398,4,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,1,,,,,2,,,,,1,,,,,,,,,,,,,2,,,1,,1,1,1,,,1,,2,1,2,2,2,,1,3,,2,2,1,3,2,,4,1,1,4,3,,3,2,2,5,2,2,1,4,,1,3,1,,,,1,1,,,,,,,,,,,,,,83
399,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1,,1,,,,1,,,2,1,,,1,,,,,,,3,,,2,,1,,2,,,1,,,1,1,1,2,,,1,1,,,2,2,,2,1,1,1,,1,3,2,,,,,,,,,,,,,,,,,,,,,43
400,11,,,2,1,,,,,,,1,,,,,,,1,1,1,3,3,3,,1,1,4,3,,2,1,2,1,1,4,3,1,2,2,2,1,3,6,5,4,2,3,3,3,6,1,2,3,3,6,8,6,4,5,6,8,8,9,9,,7,8,10,6,7,8,14,16,9,17,15,11,11,10,11,6,12,18,13,11,12,10,14,9,8,8,9,1,1,4,3,3,,2,,1,,,,,,,,,,,476
401,2,,,,,,,,,1,,,,1,,,,,,,,,,1,2,,,1,,,1,,,,,,,,1,,,1,,,,,,1,,,,2,,1,,1,,2,,3,3,2,1,4,1,,1,2,1,1,1,2,4,1,1,3,2,2,1,2,3,2,3,2,2,1,,,2,2,1,1,,1,,,,,,,,,,,,,,,,,,,76
402,3,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,1,1,,,,1,,,1,1,,1,,1,1,1,1,,2,,2,2,,1,3,3,2,6,2,4,4,1,6,,1,1,4,1,1,1,,4,,1,1,,,1,,,,,,1,,,,,,,,,,,,74
403,3,,1,,,,1,,,,,,,,,,1,,2,1,,,,1,1,,,,1,,,1,2,,,1,2,1,2,4,1,,,3,2,1,3,1,,3,1,,3,4,,1,2,2,3,1,3,5,,2,3,2,3,2,2,1,1,2,4,7,5,1,11,3,4,4,3,3,8,3,6,5,2,5,5,1,1,3,1,,,,1,,1,,,,,,,,,,,1,,,170
404,5,,1,,,,,,,,1,,,1,2,,1,,,1,1,,,1,1,,1,1,,1,1,,3,1,2,1,1,3,2,1,3,1,1,1,1,,2,2,,3,2,1,3,5,,,4,5,4,3,5,4,6,4,1,2,6,10,5,3,10,8,7,8,6,2,6,1,3,9,2,9,7,5,6,14,8,1,6,2,6,7,8,1,3,,2,1,,1,,1,,,,,,,,,,,270
405,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,1,,1,1,,,,,1,1,,1,,2,1,,2,,,,,,1,2,2,,2,,1,2,,2,,2,1,2,2,1,,2,,3,1,3,2,2,2,1,6,4,2,3,1,4,1,1,1,1,2,,,1,,,,1,,,,,,,,,,,,,,,,79
406,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,1,,2,,,,,,2,,1,2,1,1,1,,2,,1,1,1,4,2,2,1,1,2,2,3,4,3,,4,2,1,5,4,3,3,,2,3,4,2,5,1,3,2,,3,3,3,2,2,1,1,1,,1,,,,,,,,1,,,,,,,,108
407,8,,1,,1,,,,,,,,,1,,,,1,,1,1,,,2,2,1,1,3,2,1,,1,,1,1,,2,2,3,2,3,1,1,2,1,2,1,4,2,3,1,2,3,1,6,3,3,1,2,3,3,7,2,3,3,5,6,5,6,10,4,6,5,10,4,8,3,8,11,4,11,9,6,9,4,4,4,5,3,5,3,4,2,2,5,2,1,,1,3,,,,,,,,,,,,,279
410,5,,1,1,,,,,,,,,,1,,1,1,1,,,,1,1,1,,2,,1,,1,2,,,2,3,2,,,5,2,2,2,1,1,,1,4,2,4,4,1,2,2,4,2,3,3,5,2,1,3,5,3,4,5,7,2,11,8,11,9,12,11,7,4,3,9,8,10,10,6,7,5,6,11,10,17,8,5,11,1,2,6,4,3,4,4,2,2,2,1,1,,,,,1,,,,,,341
411,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,1,,1,,,,,,1,,,1,1,1,2,,,1,,,1,1,1,,,,4,2,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,29
412,2,,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,,,,,1,,,,,1,1,,,,1,1,,,1,,,1,,1,,,1,1,,1,1,,1,1,,,,,,2,,1,1,2,1,1,,,3,3,1,1,,3,5,,,3,1,1,2,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,58
415,28,2,1,1,3,3,,,1,,,,,,,1,1,4,1,3,2,2,1,4,2,,2,5,4,2,2,2,2,2,3,1,7,2,4,4,4,4,8,11,4,4,6,4,3,6,5,8,9,14,14,14,10,13,8,13,17,10,6,12,17,9,17,17,26,17,24,21,22,27,22,30,20,23,18,13,22,22,29,14,22,24,25,25,16,19,14,11,7,9,6,7,2,3,2,1,3,2,,,1,,,,,,,,918
416,10,,1,,,,,2,,1,,,1,,,,,,,4,2,1,1,1,1,,,3,2,,2,1,,3,,1,1,2,,1,2,,2,3,3,2,2,2,2,2,3,,4,2,2,1,6,1,2,2,4,5,4,3,8,5,4,8,7,4,9,9,8,7,10,7,5,7,8,7,5,9,11,17,8,9,7,7,6,3,5,4,2,3,3,1,2,2,1,,,,,1,1,,,,,,,,320
417,1,,,,,,,,1,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,1,,3,,,1,,1,,,,,1,,,,,,1,,,1,2,,1,4,2,1,1,,2,3,1,,,4,4,3,3,2,2,4,4,2,5,,,1,3,5,2,,3,2,1,1,1,1,,,1,,,,,,,,,,,,,,,,86
418,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,2,,,,,1,1,,1,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,17
419,2,1,,,,,,,1,,,,1,,1,,,,,1,,1,1,,,,,,,2,1,,1,1,,,,2,,2,1,2,,1,4,,,,,2,,,,1,,2,1,2,2,,2,,1,4,1,1,2,3,2,3,2,6,3,2,,7,,8,3,5,2,3,10,3,3,1,5,3,3,3,3,,,1,,,,1,,,,,,,,,,,,,,,132
420,1,,,,1,,,,,,1,,,,,,,,,,1,,,,,1,,,1,,,,,1,,1,1,,,1,,,,,,,,,,,,1,1,1,1,,,1,,4,1,2,,,2,1,1,1,1,3,3,1,1,1,1,1,3,5,3,2,2,4,,2,1,2,1,,2,1,3,1,,1,1,,,,,,,,,,,,,,,,,,73
421,3,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,1,,,1,,,,2,,1,1,1,,,,1,,2,1,1,1,1,,2,1,1,,2,2,3,2,3,1,1,1,1,,,,,3,3,3,3,4,6,3,1,1,2,4,,2,2,3,2,6,,2,5,2,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,104
422,2,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,1,,2,,,,1,,2,1,,,2,,,1,2,,,3,,1,1,3,1,1,,1,2,3,3,2,3,3,2,1,6,3,7,2,1,2,2,2,3,3,1,1,1,1,3,4,,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,96
423,1,,1,2,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,,1,,,,,,,1,,2,,2,,,,,,2,2,1,,1,1,2,,4,1,,,,3,3,3,3,2,2,4,,3,4,5,1,1,3,1,4,2,2,5,1,,6,2,5,4,1,7,3,1,1,2,3,1,2,,2,,,,1,,,,,,,,,,,121
424,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2,,,1,,2,,,,1,,,1,,2,,,1,,1,,2,2,,,2,1,1,,,1,,1,,,1,1,,,1,1,1,1,2,1,,1,,1,2,1,1,3,1,,1,,3,1,3,,,,,,,,1,,,1,,,,,,,,,,,,,,53
425,4,,,1,1,1,1,,1,2,,,,,,,,1,,,1,2,1,,,,,2,1,,,2,1,,,,,,,,1,,2,,1,3,1,,1,1,2,,1,2,,,3,4,1,1,3,4,2,4,6,4,5,,8,2,3,3,3,3,5,2,4,3,8,5,4,1,1,1,2,3,1,4,2,5,,,1,1,,,,1,,,,,,,,,,,,,,,150
426,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,2,,,1,2,,1,,,1,1,,1,,1,,2,2,3,,1,2,1,2,1,2,1,,1,2,,1,1,1,2,2,2,2,4,1,2,3,3,1,4,1,3,1,2,5,1,3,4,3,2,3,,2,,1,1,,,,,,,1,,,,,,,,,,,,97
