Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.111,muertes.Total 
6101,29,2,,2,,,2,1,1,1,,1,,1,1,,1,1,3,3,,4,3,7,2,3,5,5,8,3,3,9,3,5,3,2,7,4,4,11,3,7,7,11,5,11,5,6,12,12,9,8,12,12,21,14,16,15,16,23,22,19,14,23,20,28,24,25,20,17,27,22,22,32,30,45,33,29,46,44,30,38,25,28,32,24,20,22,21,18,17,12,19,13,7,12,3,5,4,4,2,,1,2,,,,,,,,1266
6102,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,,,,,1,1,,,2,,,1,,,,,,1,,,1,2,2,1,1,3,,1,,,,1,1,,1,3,1,2,2,2,2,3,1,,,3,3,3,2,3,,,1,1,,1,,1,,,,,,,,,,,,,,,,60
6103,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,,,,3,,1,,,,2,1,,1,,1,,4,,2,1,2,3,2,3,3,1,3,1,2,3,3,1,3,2,2,4,1,3,1,3,3,2,1,,,1,,1,,,,,,,,,,,,,76
6104,3,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,1,1,1,,,,,2,2,,,1,,1,1,,,1,1,1,1,,,2,,,3,,,1,1,1,2,3,3,5,1,1,3,3,2,2,1,2,2,,1,5,,1,3,5,2,3,,3,,3,3,3,1,1,4,1,,1,1,,,1,,,,,,,,,101
6105,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,4,,,1,,1,1,,1,2,2,1,,1,3,2,1,3,1,3,3,4,,,2,2,2,1,4,6,3,2,3,1,2,3,2,3,2,,4,2,3,6,5,2,2,1,,,,1,,1,,,,,,,,,,,,,105
6106,6,,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,1,1,,,3,1,1,3,2,1,,2,2,1,3,1,1,,2,3,3,2,,,8,3,2,8,,2,3,1,2,5,,3,5,3,5,5,5,3,5,1,3,3,3,2,3,2,,,,7,2,,1,1,,,,,1,1,,,,,,,,142
6107,2,,,,,,1,,,,,,,,,,,,,1,,,,,1,1,,2,,2,1,,,1,,,,,,,1,2,1,,,1,1,1,1,1,,,,1,,,4,3,3,1,1,2,3,,2,5,3,,1,3,2,2,2,4,,2,4,5,2,4,2,3,1,5,1,3,2,3,3,2,3,1,2,,2,1,,1,,,,,,,,,,,,,,115
6108,2,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,2,1,1,1,,1,,,,1,1,2,,1,1,1,1,1,3,1,4,2,2,3,1,1,4,2,2,1,1,1,1,4,,1,4,2,3,2,4,7,2,1,8,2,6,,3,5,5,8,5,3,2,4,5,3,1,6,2,4,1,4,3,3,3,,2,2,,,,,,,,,,,,,,170
6109,,,,,,,,,,,,1,,,,,1,,,1,,,,1,1,,,,,,,,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,,2,1,2,1,3,2,1,1,3,,,,3,,1,1,3,1,,3,3,4,2,1,1,2,1,1,5,1,3,3,2,2,,,,1,,,,,,,,,,,,,,,70
6110,2,,,,,,,,,,,,,,,,,1,,,1,1,1,,,2,,,,,,1,1,,,,,,,,,2,,1,,,1,,,,2,1,1,2,2,1,2,,1,,2,2,,2,,3,3,,4,4,2,4,1,1,2,4,6,4,6,4,2,,1,3,4,3,,3,2,2,2,3,1,1,,,1,,,,,,,,,,,,,,,108
6111,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,,,,1,1,,,,,,,,1,,1,,,1,,,2,1,,,,1,,,1,,1,2,1,,1,,,2,1,,2,,2,2,2,,1,1,2,,3,3,2,1,,,1,,4,2,2,,,1,,,,1,1,,,,,,,,,,,57
6112,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,,,,,1,1,1,1,,1,1,,,,1,2,1,,1,,1,,3,,2,1,1,,1,,2,1,5,2,4,1,3,3,4,3,4,1,6,4,4,4,1,3,2,3,3,2,2,4,4,1,1,2,,,,,,1,,,,,,,,,,,,111
6113,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,4,2,1,2,1,1,,,,2,,1,,,,2,1,3,3,1,2,,3,,1,1,4,2,3,2,4,4,2,2,,4,3,2,1,2,3,3,3,5,4,8,3,3,3,,2,5,1,3,,1,,,,,3,,,1,,,,,,,,121
6114,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,1,1,,3,,,,,,1,,1,,3,2,1,2,2,1,,3,1,3,,1,1,4,1,,1,3,,1,,1,2,2,,3,2,1,3,,1,,1,2,2,1,,1,1,,,,,,,,,,,,,69
6115,5,1,1,,,,,1,,,,,,,,,1,,,,1,2,1,,2,2,1,,1,2,1,1,1,1,,3,1,3,,1,,,1,1,,2,3,5,4,3,3,4,2,2,2,5,3,5,1,3,3,3,5,3,5,5,4,8,5,4,4,3,5,5,9,8,5,7,9,15,7,9,5,7,7,7,9,8,4,7,6,9,4,2,3,,,1,1,,,,,,,,,,,,,293
6116,1,,,,,,,,,,,1,,,,,,,,1,,,,,,3,1,2,1,,2,,,1,1,,1,,,,,,,1,2,1,2,1,1,,1,1,1,,1,4,,,2,1,3,1,1,1,1,4,4,,4,4,3,3,5,2,1,3,1,2,5,3,6,2,1,1,3,5,2,3,1,2,1,1,1,2,2,1,,,,,,,,,,,,,,,,119
6117,3,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,,3,1,,1,,1,2,1,,1,,2,2,2,,2,2,2,2,2,2,2,4,1,3,2,3,5,3,2,,2,3,6,6,4,8,4,6,5,4,3,6,8,8,9,5,9,4,4,8,8,9,10,7,9,4,3,3,5,3,4,4,7,1,3,3,,1,,,,,,,,,,,259
6201,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,1,2,1,,,1,,2,1,,,1,1,2,,,1,,2,,1,,1,1,2,,,1,2,1,,1,1,2,4,8,3,3,2,2,2,3,4,4,,1,4,2,1,2,1,,,,1,,,,,,,,,,,,,83
6202,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,3,2,1,1,2,,,,1,1,,,,,,,1,,,,,,,,,,,,,24
6203,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,1,,1,2,2,,,,,,,,,,,,,,1,,2,1,,,,1,2,1,,,1,,1,1,2,1,3,,,2,1,3,1,3,2,1,1,,1,,,,,,,,,,,,,,,,,42
6204,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,1,,,,,1,,,,1,2,,,,,,1,1,2,,1,1,,,2,,,,1,,,1,1,1,2,,4,3,2,2,3,,1,,2,,,,1,,1,,,,,,1,,,,,,,,,44
6205,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,1,1,,,1,,2,1,,,1,,1,,,2,,1,,1,2,,,1,2,,1,,3,,2,,,,,1,1,1,1,,2,1,,1,1,1,2,1,3,1,2,1,2,1,1,1,,1,1,,,,,,,,,,,,,,,,57
6206,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,4,,,1,1,,,,,1,3,,2,,,2,1,1,2,,1,2,,,2,1,,2,,,,4,1,,,,2,1,,1,,1,,,,,,,,,,,42
6301,15,,,,1,,,1,,,,1,,1,,1,1,,,2,3,1,3,,,,,2,2,,,,3,1,1,2,1,,1,1,2,1,4,1,,,3,2,3,,4,4,1,5,1,7,7,6,8,3,6,5,7,7,4,5,6,6,7,4,10,5,9,8,10,11,12,14,12,10,11,10,16,8,15,13,11,12,11,6,6,5,9,2,6,3,2,2,1,2,3,,2,,,,,,,,,420
6302,2,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,3,,,,,,,1,,,1,,,,,1,,,1,,1,2,2,1,1,,,,,,,1,1,,,1,2,1,1,1,5,1,3,2,,2,,3,1,4,1,3,5,3,1,4,3,2,5,1,,,2,1,2,1,1,,1,,,,,,,,,,,,,84
6303,5,,,,,,,,,,,,,,,1,,1,2,,,,,,,,1,,1,1,2,1,2,1,,,1,1,2,,2,1,,,1,,3,2,,2,6,,2,1,,,2,1,1,4,1,1,3,1,,3,3,6,4,2,1,5,5,5,5,10,6,2,9,8,9,2,4,5,3,12,7,2,4,7,2,2,6,3,,2,1,,,,1,,,,,,,,,,,202
6304,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,2,,,,,1,1,,1,,1,2,,3,,,,1,1,2,1,1,2,,1,3,1,1,3,1,1,1,3,2,,,,,,,,2,1,1,,,1,,,,,,,,,,,,46
6305,2,,,,,,1,,,,1,,,,,,,,,,1,,1,,,1,,,,1,,,,,,,1,,,1,,1,,,1,,,2,1,2,,3,1,3,,1,2,1,2,2,1,2,1,1,1,1,,1,1,4,1,4,1,4,3,3,3,1,5,4,1,6,4,3,2,1,1,2,4,1,2,4,1,2,3,2,,,,,,,1,,,,,,,,,114
6306,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,,,,,2,,2,1,,1,1,,,2,2,,,,,1,,1,,2,,,4,,2,1,1,,3,2,1,2,1,1,1,3,2,2,2,,1,3,1,4,1,1,1,1,,1,1,1,,2,,,,1,,,,,,,,,,,69
6307,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,,1,,1,,2,,1,,,,,,,,,1,1,,1,,4,2,1,,,1,,3,1,3,2,,,2,4,2,1,4,2,3,1,3,,3,1,,,1,,,,,,,1,,,,,,,,,,60
6308,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,1,1,,,,,,1,1,,,2,,,1,1,,,,,,,,,1,,,,,1,,,2,1,1,,1,2,1,,,1,1,3,1,,1,2,,3,2,2,1,1,2,1,1,5,,,1,,3,1,,,,,,,,,,,,,,,,,54
6309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,2,,2,4,,,,1,,,1,2,1,5,2,,1,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,31
6310,4,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,2,,,,,1,,,2,2,4,2,1,,2,1,1,1,,2,1,3,3,,1,,3,,2,3,1,2,3,7,5,1,3,4,6,3,7,5,3,4,4,5,6,9,5,4,5,8,9,4,2,8,10,8,4,4,4,2,2,1,,4,,,,,1,1,,,,,,,,208
7101,24,2,,3,,1,,,,,1,1,,,3,1,,4,,1,1,,4,1,1,3,1,2,2,2,2,4,3,4,4,2,6,2,3,4,4,6,4,9,4,7,6,11,9,7,9,10,8,5,13,9,9,10,11,14,22,14,9,20,23,25,13,25,21,23,20,23,23,27,23,31,30,27,30,44,33,31,25,28,30,21,41,30,21,19,17,23,10,12,23,4,6,5,4,5,1,,,,,,,,,,,1119
7102,2,1,1,1,,,,,,,1,,,,,,1,,1,3,1,,,1,1,,5,,,,1,1,2,,3,1,1,,,1,1,1,1,3,,1,2,5,,3,3,1,1,4,1,,1,2,4,3,4,2,2,2,6,4,5,6,,7,4,6,3,1,7,7,6,9,6,10,7,3,2,12,6,7,6,4,4,1,4,6,2,2,3,2,4,2,1,,1,,,,,1,,,,,,243
7103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,2,,2,,,1,1,,1,,,,,1,1,,,3,,1,,1,3,1,1,1,3,4,2,2,4,4,3,2,2,4,3,4,5,2,2,,4,3,3,4,,1,1,1,2,3,,1,,,,,,,,,,,,,,93
7104,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,1,2,1,,,,,3,,,2,1,1,,,,,1,,,1,2,,1,,1,,,,,,,,,,,,,,,26
7105,4,1,,,,,,,,,,,,,,,1,1,,,1,1,,,,2,,,,,3,2,,,1,,1,,,,1,,,1,1,2,1,1,,,1,,1,,2,,,1,2,3,1,2,1,2,,2,2,4,,2,3,5,2,3,2,3,2,,4,3,8,3,1,1,3,3,,2,,2,1,1,3,2,,1,,,,,,,,,,,,,,,,109
7106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,,,,,,,1,,2,,1,1,,,,,2,1,,,,,1,,,3,1,3,,,,,2,2,1,2,1,3,,7,2,3,2,2,2,1,,1,3,1,,1,,,,,,,,,,,,,,,,58
7107,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,3,,,,1,1,,,,1,,,,,,,1,,,2,1,,,1,2,2,2,1,,1,3,1,1,1,2,1,,2,3,3,1,1,,1,,2,3,1,1,5,,,,2,1,2,,,,,,,,,,,,,,,58
7108,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,1,,1,1,,,,1,,,1,2,,1,1,1,1,,1,1,,,1,1,1,1,1,,,3,3,3,3,3,2,6,1,,1,2,1,,2,1,1,1,1,3,,1,,2,,1,,,,,,,,,,,,,,65
7109,8,,,,,,,1,,1,,,,,,,1,,,1,,1,,2,1,2,,,,,,,,2,1,1,1,,,1,1,,1,5,,,,3,1,,1,,3,,1,2,1,3,3,4,2,2,1,4,4,1,7,5,4,3,2,5,6,2,1,9,4,6,8,15,5,6,8,7,5,4,2,9,7,10,5,1,1,,1,1,,,1,,,,,,,,,,,,,217
7110,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,2,,1,1,,1,2,2,1,1,1,2,1,,2,3,,1,2,1,1,2,1,,3,,2,2,2,,,,1,,2,,,,,,,,,,,,,,,,,44
7201,2,,1,,,,,,,,,,1,,,,,1,,1,,,,,,,1,,3,,1,2,2,,1,1,5,1,3,3,3,1,3,,2,2,3,6,3,6,2,2,1,3,2,4,3,5,7,7,3,4,2,5,6,3,7,3,2,10,3,7,8,7,5,5,7,12,11,9,7,8,7,16,7,11,6,11,11,3,3,10,8,8,4,3,5,2,2,1,1,,,,,,,,,,,347
7202,1,1,1,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,3,,,,,,,,,,,,,2,1,,,1,1,1,,2,,,1,1,1,1,,3,,1,,,,,1,3,,,2,1,2,2,1,1,3,1,2,3,2,1,3,1,2,,2,,1,,1,,1,,1,,,1,,1,,,,,,,,,,,,,,65
7203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,1,,,,,,1,,1,,1,1,,,,,,,,,2,1,,1,1,,1,1,,3,2,1,1,3,3,1,3,1,2,2,1,,2,,,,1,,,,1,,2,3,,,,,,,,1,,,,,,,49
7301,15,1,,,1,2,,,,,1,,,,,3,2,1,2,2,2,,1,3,4,1,1,3,2,1,4,3,8,4,2,2,,1,1,4,3,6,2,6,11,3,2,6,6,6,5,5,4,8,11,10,10,9,9,7,12,9,17,13,12,11,9,13,10,16,15,19,17,18,16,21,23,20,27,21,20,25,17,10,19,17,16,13,16,23,13,18,8,5,9,6,2,3,3,2,1,,,,,,,,,,,771
7302,3,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,1,,,1,,1,,,,,,,1,,,,,1,,1,1,1,1,2,1,1,1,1,1,3,,2,,1,1,2,5,,3,2,1,4,3,,1,2,3,2,1,2,2,1,3,3,2,1,,,1,3,1,1,1,,1,1,,,,,,,,,,1,,,,82
7303,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,1,2,1,1,,,,1,2,,,1,1,1,,2,,1,2,2,,,,,1,,3,1,3,2,1,4,2,2,1,2,2,,,1,,1,2,1,,,,,,,,,,1,,,,,,,,,54
7304,7,,,3,,,,,,,,,,,,,,,,,2,,,,,,,2,1,,1,,1,,,,3,2,,2,1,1,1,2,2,2,2,3,6,2,5,3,,4,4,4,4,5,6,4,3,3,3,4,10,9,7,5,6,6,3,7,6,6,4,5,10,6,5,10,12,13,6,10,6,12,8,8,4,8,1,4,3,5,3,1,1,,2,,,,,,,,,,,,,310
7305,2,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,1,1,,,1,,,,,,,,2,2,,1,,1,1,,1,3,,1,,2,,,2,1,,2,2,3,4,3,1,2,4,1,2,1,2,1,2,,4,1,,,1,1,,,,,,,,,,,,,,64
7306,1,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,1,1,,,1,,,,,,,,,,,1,,,,1,1,,2,,1,1,2,1,,1,1,4,,,,2,1,2,1,1,6,2,2,4,1,2,3,,4,1,,,,3,,,,,,2,,,,,,1,,,,,,,,,,63
7307,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,2,1,2,1,1,1,,1,1,2,,2,,1,,1,5,,2,,1,2,,2,3,1,4,2,2,3,3,1,2,4,2,2,3,3,8,3,3,6,4,1,4,4,1,2,4,2,5,2,3,,1,3,,1,,2,1,,,1,,,,,,,,,,130
7308,2,,1,1,,,1,,,,2,,,,,1,,1,2,,,,1,,,,1,1,1,3,,,,,,1,,,2,1,,,2,,1,,1,2,1,2,1,1,1,,2,1,3,2,3,1,7,2,1,1,,1,3,6,3,1,3,3,6,3,5,4,3,6,4,4,7,4,6,5,3,2,,7,6,2,,1,2,,1,1,,,1,1,,,,,,,,,,,,161
7309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,1,,,,1,,,,,,,1,1,,1,,1,,,,,,,1,1,1,,1,,1,,1,4,1,1,2,,1,1,,1,1,,,,,1,,3,,,,,,,,,,,,,32
7401,15,,1,,,,,,,,,,,1,,1,1,1,,2,,,,,1,2,,1,4,3,,2,1,,3,1,2,3,4,,1,3,6,4,,2,2,4,1,6,4,3,8,6,6,5,6,8,6,12,8,10,5,9,6,11,10,16,11,10,8,19,7,12,12,18,8,19,17,17,13,19,10,13,14,13,11,15,17,8,9,10,3,9,5,5,,2,3,,,2,,,,,,,,,,556
7402,1,,,1,,,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,,,1,,,2,,2,,2,1,,,1,,1,1,,,1,1,1,1,1,,1,2,,,1,2,2,3,2,3,1,1,3,3,1,3,,6,1,4,6,3,3,2,5,5,2,2,3,5,1,5,1,2,1,,,1,,,,,,,,,,,,,,,,,110
7403,4,2,1,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,,,1,,,,1,,,,2,1,,,1,2,1,2,,,2,,,2,2,4,4,2,3,2,,2,1,1,,3,4,5,9,4,4,3,1,2,1,8,3,3,7,6,3,5,5,5,1,4,3,4,5,3,4,2,5,1,1,4,2,3,2,,,,1,,,,,,,,,,,174
7404,6,1,1,,1,,1,,,,,,,,,,2,2,2,,1,1,4,1,,,1,1,2,,1,1,,2,2,5,1,1,,1,1,3,1,2,1,,,3,1,3,,7,3,2,1,3,4,2,3,2,,6,4,3,5,4,8,6,7,2,4,4,4,3,6,10,18,11,11,5,9,4,7,10,8,6,14,10,9,8,7,7,6,5,4,2,4,,,,,,,,,,,,,,,324
7405,1,,,,,,,,,,,,,1,,,,,1,2,1,,,1,,,,1,,,,,,2,,,1,1,,,,,,,,1,,,2,1,1,,2,1,,3,,,1,,,2,,3,,1,3,2,2,1,2,3,4,4,2,3,3,1,4,1,2,1,6,,4,6,1,2,1,3,3,2,,,,,,,,,1,,,,,,,,,,,97
7406,5,,,,,,,1,,,,,,,1,,,,1,1,1,,1,1,1,,,,1,,,,2,,1,1,1,,1,2,1,,1,1,5,2,2,2,3,1,3,2,2,6,2,5,6,1,2,5,2,1,2,6,8,5,6,9,5,3,5,1,4,6,6,6,8,7,6,6,11,5,10,3,9,3,5,4,8,7,4,5,3,4,3,2,1,2,2,2,,2,,,,,,,,,,271
7407,2,,,,,,,,,,,,,,,1,,,1,,,2,,1,1,,,1,1,,,,,,,1,,1,2,,,,2,,3,,2,,,,,2,,1,,1,1,3,2,1,,2,5,2,1,1,2,2,3,2,2,2,1,1,5,3,2,3,1,5,6,4,2,2,6,1,,2,,1,2,2,3,,1,1,,,,,,,,,,,,,,,,110
7408,3,,,,,,,,,,,,,,1,1,,1,,,,,,,,2,,1,2,1,,,,,,2,,,,,,,,,,,,1,,1,,1,1,2,,,,4,1,,1,2,1,1,3,2,2,,1,4,3,,6,1,3,2,1,1,6,4,2,2,,4,2,4,3,,2,1,1,3,,2,,,1,,,,,,,,,,,,,,,96
8101,20,4,1,,,1,,2,1,2,1,1,,,,,1,,,1,4,3,3,,3,2,1,1,1,3,1,1,2,2,2,3,5,6,2,7,3,7,12,6,3,6,9,9,6,10,7,10,8,8,16,9,10,21,23,13,16,22,27,26,17,29,19,32,22,28,21,21,27,23,31,33,33,35,26,39,37,38,47,37,31,32,47,32,32,23,30,19,24,18,19,15,12,9,9,7,1,,1,1,,,,,,,,1331
8102,16,,1,1,,,,,,,,1,,,1,1,,,2,,,1,1,1,2,2,2,1,,3,1,1,,2,1,1,3,1,5,1,,3,6,4,3,7,4,7,4,4,7,7,6,1,4,2,10,9,10,4,9,8,12,11,10,2,14,10,10,8,13,11,15,15,14,19,14,20,17,17,24,12,19,16,6,4,17,8,9,11,8,5,8,7,3,5,2,,2,,,,,,,,,,,,,569
8103,14,1,,,,,,,,,,,1,,,1,1,1,,,1,,1,1,,,,,2,1,1,1,1,1,2,2,,3,2,2,3,2,1,3,1,3,4,5,3,2,3,3,3,4,5,6,3,5,10,9,3,3,4,7,4,5,8,10,10,7,9,3,4,9,11,14,11,12,11,8,10,7,7,13,4,9,14,10,7,10,11,5,6,6,1,4,6,2,4,,2,,,,,,,,,,,409
8104,,,,,,,,,,,,,,1,,,,,1,2,1,,1,,,,,,,,,,,,,2,,,1,1,,1,,,,1,,,,1,,,,,,1,2,1,2,,2,2,2,1,3,1,3,1,1,,1,3,5,1,2,,1,4,2,1,1,,2,2,,2,3,3,,,2,1,2,,,1,1,,,,,,,,,,,,,,,75
8105,4,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,1,,,,,2,,,1,,1,,1,,,,1,2,1,2,2,1,,2,,,1,1,,2,5,2,,1,3,4,3,3,2,4,1,,1,2,3,5,2,5,3,2,6,2,1,4,4,6,2,1,1,3,4,3,1,,1,,2,1,,1,,,,,,,,,,,,,122
8106,12,,1,,,2,,,,,,1,1,,,,,,1,,2,,,1,1,2,1,,1,,,,3,1,4,1,2,2,2,3,2,2,1,1,5,2,1,5,2,,5,5,4,,4,3,3,7,4,4,5,3,5,6,2,3,10,10,9,5,7,3,10,2,13,4,12,10,12,13,5,16,7,11,11,13,12,10,,4,5,,4,1,1,1,4,3,,1,,,,,,,,,,,,357
8107,2,,,1,,,,1,,1,,,,,,,1,,1,,,,,,,,,3,,,1,,,,3,1,,1,,1,2,1,1,2,4,1,,3,3,2,3,1,3,5,1,2,7,1,2,3,4,5,4,2,4,6,8,7,4,4,7,2,3,6,6,6,6,10,5,5,7,10,6,5,2,12,2,4,10,4,7,8,3,1,,2,1,1,2,,2,,,,,,,,,,,257
8108,15,5,,,,,,1,1,2,,,1,,1,2,1,4,2,1,1,1,1,1,,1,2,2,,,,2,,4,4,1,1,2,3,3,,1,2,3,2,1,3,3,2,2,4,3,7,4,6,10,7,4,8,7,11,5,8,7,5,7,9,11,4,9,6,8,5,8,6,8,10,12,14,13,7,12,9,13,10,11,6,8,8,8,7,3,4,2,2,3,1,3,2,2,,1,1,,1,,,1,,,,435
8109,1,,,,,,,,,,,,,,,2,,1,,,,,2,,1,,,,,,,1,1,,,,,,1,2,,1,,2,,,3,1,2,,,,1,1,2,3,5,,1,2,,2,2,1,1,3,4,1,2,,2,1,4,3,1,6,1,7,3,3,4,3,2,2,3,4,3,6,2,2,6,3,2,2,2,,1,,,,,,,,,,,,,,,130
8110,14,2,,,,,1,1,1,,,1,1,1,1,1,1,1,1,2,,1,1,4,2,1,2,1,,1,2,5,2,2,5,2,6,2,3,1,3,4,6,3,6,9,5,4,13,5,7,16,5,12,6,12,11,12,12,15,18,19,13,23,13,26,19,11,23,18,16,25,16,30,27,22,22,41,26,36,24,20,24,22,19,12,29,10,12,12,16,18,7,11,14,6,4,4,3,2,3,,1,,,,,,,,,955
8111,6,,,1,,,,,,2,,1,1,,,,,,1,,,,1,1,,2,,1,,,,2,,1,,2,,3,2,2,1,,,1,1,4,2,4,1,3,4,2,3,2,3,2,5,3,4,3,8,6,4,5,3,2,6,8,9,7,6,11,5,8,8,13,17,6,15,13,9,10,8,9,6,9,10,9,7,5,9,6,5,4,2,6,,1,,1,1,,,,,,,,,,,354
8112,11,,,,1,,,,,,,,,,,,1,,,,,1,1,2,,2,1,3,2,2,1,4,1,3,2,2,1,3,2,4,,7,1,3,5,5,3,1,3,2,3,3,3,7,6,6,5,9,2,9,9,6,9,9,11,7,9,4,10,8,12,24,12,14,13,17,16,18,17,11,19,18,15,9,22,5,7,12,5,9,3,3,7,4,3,1,3,4,7,,,1,1,1,,,,,,,,528
8201,2,,,1,,,,1,,,,,,,,,,1,1,,,1,1,,1,1,,,1,,,,,1,1,1,,1,,1,,,1,,1,2,1,1,,,1,2,2,1,1,1,1,2,3,,2,5,4,4,2,,5,4,3,3,2,2,5,1,4,2,6,6,4,6,4,5,2,8,4,6,1,,2,3,6,2,3,4,,3,1,,,1,,,,,,,,,,,,161
8202,9,,,,,,,,,,,,,1,1,,,,,,1,,,1,1,1,1,1,,1,2,2,1,,1,2,1,1,2,,1,,1,1,,1,1,,1,1,,,,1,1,3,1,1,4,1,2,1,4,1,3,4,4,3,4,2,,,9,4,2,2,5,1,6,4,7,2,6,6,4,4,4,3,3,2,5,2,5,2,1,,2,1,,2,,,,,,,1,,,,,172
