Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.111,muertes.112,muertes.113,muertes.114,muertes.118,muertes.119,muertes.total
13102,14,2,,1,,,1,,,1,,,,,,,1,1,1,,,,,1,2,2,,,1,2,2,1,3,2,1,1,3,,1,3,1,3,4,4,3,3,2,6,3,,3,3,2,6,5,5,6,6,7,10,5,9,10,4,4,4,4,5,9,9,9,6,6,2,6,12,5,10,6,7,6,11,16,15,10,8,8,5,8,7,9,2,6,5,4,1,3,4,,1,3,,,,,,,,,,,,,,,,393
13103,19,1,3,,3,1,1,,1,,,1,1,1,,3,,2,1,1,1,,2,4,3,1,3,2,2,2,2,3,4,3,3,6,4,5,5,6,8,5,3,6,3,,9,9,3,8,10,5,6,5,11,7,8,7,19,8,17,12,17,17,10,10,11,9,13,19,20,16,20,23,26,17,18,14,12,17,27,12,24,14,14,8,9,16,11,10,6,7,9,3,3,4,,2,1,,1,,,,,,,,,,,,,,,,739
13104,16,1,1,,,1,1,,,1,,2,1,,,1,,2,,2,4,1,3,1,1,1,2,1,,2,5,,4,,3,1,3,7,6,7,6,6,6,4,4,6,8,6,5,6,3,8,8,9,5,4,5,5,12,8,13,9,9,9,15,14,22,19,16,18,30,31,15,21,23,28,25,25,17,26,17,25,16,19,12,22,17,10,9,10,8,10,9,6,6,1,5,1,2,1,1,1,,,,1,,,,,,,,,,,799
13105,19,2,2,1,,1,,,1,1,,,1,,3,1,2,1,1,2,2,3,1,2,2,,4,6,5,2,5,3,1,3,5,7,4,3,3,3,5,3,7,5,5,8,1,4,6,5,4,5,12,6,8,6,9,11,7,10,14,8,16,15,13,13,13,19,17,24,21,22,18,21,12,23,16,19,23,15,23,21,22,22,16,16,19,11,15,9,14,11,5,4,5,2,3,1,1,,,,,,,,,,,,,,,,,,791
13106,18,2,2,1,,,,1,,1,1,,1,1,1,,1,2,1,1,1,1,,2,6,1,5,4,1,7,,4,,3,4,3,2,4,5,2,4,3,4,2,4,7,9,4,8,5,8,9,3,5,7,3,12,14,12,15,7,13,24,13,11,21,18,18,14,26,16,25,30,26,25,22,22,28,26,21,26,22,25,15,17,23,11,26,19,10,13,14,6,13,6,3,5,5,,2,2,1,,1,,,,,,,,,,,,,898
13107,8,,,1,2,,,1,,,,,,,1,,,,1,2,,,1,1,1,2,,,1,1,,2,1,1,,1,,,2,1,3,4,,4,2,3,2,2,1,1,3,1,3,2,5,3,4,3,4,8,8,6,10,6,5,3,8,5,3,,6,6,5,6,7,6,10,10,4,4,4,3,4,3,2,3,9,2,3,6,4,1,1,3,4,3,3,1,1,,,,,,,,,,,,,,,,,,267
13108,16,1,,,2,,1,1,,1,1,,,,,,,3,1,1,,1,1,,2,5,,1,2,2,7,1,1,2,3,2,2,,1,2,1,4,4,4,1,6,5,4,3,7,5,5,6,8,6,5,11,10,9,6,6,6,8,7,4,9,15,4,12,16,15,21,26,13,22,17,23,13,26,19,17,30,27,22,25,29,27,25,33,20,15,22,21,15,10,10,4,6,1,2,2,1,2,,,,1,,,,,,,,,,822
13109,11,1,,1,,,,,,,,,,,1,1,2,,,,1,,,1,1,,,3,1,2,,,,1,,4,3,,2,3,2,1,4,2,1,2,,1,,6,2,1,7,1,7,3,5,10,10,9,8,4,2,7,10,7,10,7,9,14,8,24,16,17,13,19,14,6,12,22,16,14,18,20,16,23,24,16,12,19,12,11,9,4,8,4,2,2,1,1,1,,,1,,,,,,,,,,,,,576
13110,36,2,2,2,,,2,1,,1,2,1,,2,2,2,1,3,2,,2,2,2,2,4,7,6,4,7,8,4,3,4,8,8,9,8,10,11,9,8,3,10,11,11,8,9,9,12,12,14,13,12,19,6,16,16,19,25,15,22,21,32,22,24,22,33,19,25,33,31,45,42,27,41,45,33,35,38,48,37,36,38,32,31,45,36,33,27,25,16,21,14,11,18,8,8,5,3,2,,2,1,2,,,,,,,1,,,,,,1517
13111,13,1,,,2,1,4,1,,,,,1,,1,2,3,1,,7,2,2,1,1,2,2,3,1,1,1,2,4,1,5,1,4,4,5,5,2,7,1,5,2,7,8,4,1,7,6,5,6,6,8,7,12,4,9,7,14,11,8,9,8,8,8,19,18,14,18,11,15,15,19,18,20,15,14,21,13,18,13,18,5,14,14,8,11,8,11,10,10,6,5,1,2,,2,,,,,1,,,,,,,,,,,,,,651
13112,22,2,2,1,1,1,,,,1,,2,,1,1,,1,,4,4,3,5,2,5,5,3,5,9,3,4,3,4,2,5,2,6,2,4,7,5,4,9,8,6,9,6,4,3,9,8,4,10,10,9,14,11,9,9,15,11,5,8,11,14,7,8,8,15,10,15,11,15,14,18,23,11,10,9,16,11,10,11,9,9,8,8,6,13,10,2,2,2,7,,3,1,1,,,1,,,,,,,,,,,,,,,,,637
13113,12,,,,,,,,1,,,,,,,2,,2,1,1,2,,1,,,1,1,,,,2,1,1,1,1,,,,2,,1,1,3,,2,1,4,1,3,3,2,2,3,2,3,6,1,3,3,3,4,7,5,8,3,5,12,5,6,7,7,6,9,13,9,13,10,11,8,14,11,19,23,15,18,15,15,19,19,23,20,14,10,11,7,8,4,5,3,3,2,3,2,,1,,,,,,,,,,,,511
13114,12,2,1,,1,,1,,,,,,,2,3,1,,1,1,,2,,1,2,1,1,4,3,3,3,1,3,1,2,1,,1,6,,1,6,4,3,7,,2,7,6,2,7,7,2,7,11,14,7,7,14,7,14,10,10,12,14,10,16,15,19,16,22,25,17,31,23,30,27,30,23,41,37,30,33,29,41,34,43,48,35,48,38,29,38,34,30,26,12,20,17,2,7,7,2,2,,3,,1,,,,,,,,,,1232
13115,9,,,,,2,,1,,,,1,1,,1,,,1,,,,1,2,,1,,1,1,,,,1,,2,,,,3,,2,5,1,1,,,1,,3,1,1,1,3,1,2,2,1,4,2,1,2,1,,3,,3,3,3,1,3,5,7,4,5,3,9,7,1,3,3,3,5,6,5,4,5,2,4,3,4,,2,4,1,2,1,1,3,2,,,,1,,,,,,,,,,,,,,,184
13116,16,,,,,,,,,1,,,,2,,,1,1,1,1,1,2,4,1,,1,2,,2,,1,1,4,1,1,4,4,5,2,8,8,4,2,9,9,5,4,2,5,9,6,5,3,6,3,9,9,11,12,8,8,4,12,12,11,8,9,9,14,19,12,26,27,22,18,27,16,24,17,8,22,13,13,17,10,5,15,8,9,7,,2,3,2,2,5,1,1,,1,,1,,,,,,,,,,,,,,,636
13117,10,1,2,1,1,,1,,,1,,1,1,,,1,1,,2,1,,,,4,1,4,,3,,1,1,6,1,5,3,,1,2,3,2,4,1,4,2,4,7,10,7,6,4,6,6,4,7,4,5,6,6,5,9,9,9,7,9,16,7,8,10,10,16,13,14,15,20,14,10,9,7,9,12,16,7,7,9,10,14,12,11,6,7,7,9,5,6,4,3,1,2,3,,,1,,,,1,,,,1,,,,,,,534
13118,10,,,1,,1,1,,,,,,1,1,1,,,1,1,2,1,,2,1,,,1,1,,1,2,1,,,,3,1,2,3,1,,2,2,4,5,1,,3,4,3,4,7,2,1,7,8,7,10,8,4,5,9,5,8,9,12,9,9,6,12,16,11,12,6,12,14,19,17,23,18,19,15,19,22,15,13,14,7,16,14,7,10,16,5,3,6,4,2,3,2,1,3,1,,,,,,,,,,,,,,571
13119,48,7,1,2,1,3,,,2,2,2,1,4,4,2,2,2,3,2,1,6,8,6,2,3,2,5,4,2,4,7,3,7,5,4,4,6,9,6,13,17,11,7,12,16,16,19,13,8,12,8,19,10,10,17,24,29,13,27,25,18,22,21,22,33,22,21,22,28,25,36,41,46,41,33,39,24,25,32,41,36,31,34,36,24,32,16,14,22,16,22,20,17,11,11,10,7,3,3,1,3,1,1,1,,,,,,,,,,,,,1472
13120,8,1,,1,,,1,,,,1,,,,1,,1,1,3,,1,,3,1,3,2,3,2,6,3,2,2,,1,,1,1,2,3,1,3,2,4,3,3,2,2,5,4,1,7,7,9,7,5,11,4,12,7,14,10,10,12,9,13,13,18,16,15,21,27,27,39,36,33,33,34,28,30,35,41,50,45,32,46,38,54,51,48,54,24,32,21,26,19,31,16,10,8,5,5,,2,2,3,1,,,,,,,,,,,1290
13121,19,2,1,,1,,1,1,,1,,,1,1,,2,,2,,3,2,3,1,,3,,3,2,,2,1,3,,4,,4,2,3,1,,6,4,9,4,6,5,4,11,8,9,3,3,4,5,6,4,7,9,5,7,7,6,11,9,9,17,15,11,14,15,28,17,22,27,35,29,28,23,30,22,24,25,21,25,20,16,15,14,15,14,12,10,4,6,4,3,3,3,1,1,1,,,,,,,,,,,,,,,,800
13122,34,3,3,1,,,2,,,,1,1,,1,1,2,3,2,2,3,2,4,1,,2,4,2,3,,4,3,6,5,2,7,6,5,2,1,5,4,5,5,3,8,,5,5,10,4,7,5,11,10,14,12,6,14,14,15,18,12,16,19,15,19,22,19,16,16,23,15,20,19,17,16,23,26,14,21,20,21,21,22,18,14,19,23,11,13,4,11,5,6,2,4,1,3,2,1,1,1,,,,,,,,,,,,,,,869
13123,15,2,1,1,1,,,,,,,1,,,,,,,1,,3,1,1,2,2,1,1,,3,1,,,1,1,,3,,3,4,,1,2,3,,2,5,3,4,3,4,2,1,6,8,2,6,3,7,7,9,10,3,5,5,10,8,15,10,11,13,15,21,21,14,26,29,24,22,19,29,29,39,34,39,31,30,42,32,42,39,33,40,33,28,24,27,22,16,10,9,,6,1,2,3,1,,,,,,,,,,1,1050
13124,26,4,4,3,1,3,,,,2,2,1,3,1,1,,3,2,1,,6,2,,2,3,3,3,1,4,6,1,2,6,3,4,3,7,3,6,2,6,6,7,4,8,3,9,7,2,5,7,6,13,9,12,6,9,8,15,13,15,14,17,13,16,11,24,16,16,18,18,25,19,14,15,20,12,19,14,9,7,17,14,12,15,12,20,10,11,8,7,15,11,6,5,6,3,4,3,,,,1,,,,,,,,,,,,,,791
13125,17,4,,,,,,1,,2,,,,,,,1,,2,3,,,4,2,1,,2,1,4,1,1,2,3,3,1,3,3,3,,4,3,3,3,,2,2,4,3,2,5,2,1,1,5,5,2,1,4,4,6,7,3,2,8,5,9,3,7,8,5,6,4,7,5,5,5,6,6,5,6,5,6,5,1,3,2,2,3,3,2,4,2,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,283
13126,22,1,,,,1,,1,1,,,,,,1,,,1,,,1,1,,4,1,1,1,,1,3,1,3,,2,,4,3,3,3,5,1,2,4,3,2,6,5,3,7,10,5,,11,4,7,6,13,5,8,11,8,11,20,14,10,13,10,13,10,8,25,15,28,21,17,16,17,28,27,25,20,18,30,28,24,24,26,29,17,20,12,19,19,7,5,10,3,5,2,3,,,,,,,1,,,,,,,,,,836
13127,27,4,1,2,,1,,,,1,3,1,,1,2,,1,,2,,1,,1,,1,4,2,5,2,3,1,2,4,6,4,4,5,4,3,5,7,3,5,5,1,4,12,4,7,7,8,4,3,7,14,5,9,12,16,12,24,10,10,12,11,12,12,16,25,14,23,25,29,32,28,29,26,30,25,24,24,22,25,29,16,26,16,21,24,23,18,16,19,8,8,9,3,3,1,,1,1,,,,,,,,,,,,,,,978
13128,18,1,,1,,,,,,,,1,,3,2,,,1,1,3,1,3,2,2,1,2,1,1,1,2,3,5,2,1,3,,3,1,3,5,2,4,2,4,6,8,1,5,8,4,6,8,3,11,9,14,11,8,8,7,18,17,7,13,9,13,8,6,5,9,18,20,15,18,17,18,11,13,17,12,13,12,11,18,8,11,10,9,6,9,4,6,3,1,3,,3,1,,,,,,,,,,,,,,,,,,,594
13129,7,1,,,1,,,1,,,,,,,,1,1,,,1,3,,1,2,,2,1,,,1,2,1,1,2,2,1,3,1,2,2,2,1,3,1,4,5,3,6,3,3,7,1,5,5,8,7,9,5,13,9,8,10,11,7,9,7,14,13,8,10,23,25,26,25,22,20,20,15,20,15,17,14,27,21,12,21,15,15,12,13,18,9,5,5,8,4,3,4,2,1,1,1,,,,,,,,,,,,,,,676
13130,11,1,,1,1,,,,3,,1,1,,,,2,1,2,4,1,1,1,1,2,3,1,2,1,2,1,,2,2,,2,1,1,1,2,3,,1,1,2,3,2,2,4,5,6,2,5,3,8,2,5,4,4,13,8,6,10,7,12,7,11,19,15,8,18,11,19,22,20,19,21,21,24,16,30,17,20,23,19,21,25,14,17,19,22,14,16,15,10,10,7,6,6,2,1,,1,,,,,,,,,,,,,,,739
13131,18,1,,,3,1,,,,1,1,1,,,,2,,,1,,2,1,1,,4,2,,,1,4,1,1,3,5,4,1,4,3,2,2,4,5,6,1,3,4,2,7,3,2,4,3,3,8,7,8,6,9,12,5,7,12,6,7,9,13,12,16,10,14,9,16,14,14,13,10,9,12,12,14,8,10,6,7,15,10,6,8,5,6,5,6,3,3,2,3,2,1,2,,,,,,,,,,,,,,,,,,509
13132,2,,2,,,,,,,1,,1,,,,,,,,,,1,1,1,,,,,1,,,2,1,1,,,,1,,3,1,1,,1,,,2,1,1,1,,5,3,3,2,2,6,2,2,5,4,3,3,4,2,5,5,2,5,5,6,10,6,9,11,7,13,12,12,9,11,15,8,13,11,9,15,15,12,14,12,11,13,4,6,5,7,7,4,,1,1,,1,,,,,,,,,,,,,384
13201,61,4,5,1,,,1,1,2,,4,3,1,1,5,1,5,2,4,4,6,3,8,3,4,6,1,7,6,5,2,3,3,2,9,3,10,8,8,5,10,14,12,13,15,12,13,14,9,14,17,20,16,13,15,11,15,19,19,23,26,18,20,23,25,26,33,21,39,34,33,41,49,54,48,29,29,42,40,31,35,40,37,33,31,35,17,24,13,25,25,14,15,7,6,8,2,2,5,2,1,3,,,,,,,,,,,,,,,1542
13202,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,2,3,,1,1,,,1,,,2,3,,1,,1,3,2,1,2,1,,,1,1,4,3,2,2,2,2,1,3,1,1,2,3,2,,3,,,,2,,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,69
13203,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,,,,,,1,,,,1,,1,,2,,,,1,1,,1,4,,,2,,,,,2,2,1,1,2,3,3,5,2,1,6,1,2,3,,3,,2,2,2,,2,3,1,,2,,1,,2,,,,,,,,,,,,,,,,,,,,74
13301,8,,1,,,,,,,,,,,,,,,,,1,1,,,3,,2,5,2,2,3,,2,1,,2,,1,2,1,3,,2,,1,,2,1,1,2,1,,3,4,5,2,3,2,4,3,5,4,5,5,5,3,6,4,7,7,3,6,9,8,6,5,7,4,6,4,5,7,9,3,5,3,4,7,5,5,6,4,1,1,3,1,1,1,,,,1,,,,,,,,,,,,,,,,257
13302,8,,,,,1,,,,,,,,,1,,1,2,,,1,,1,1,2,,,,,1,,,,1,1,,1,,1,2,1,,1,,4,,3,,1,1,1,,3,2,3,3,,3,5,4,4,6,6,,6,,1,3,2,3,4,2,5,1,6,5,4,5,8,6,7,5,3,6,2,3,2,8,2,1,3,1,2,2,2,1,1,1,,1,,,1,,1,,,,,,,,,1,,,193
13303,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,2,,,1,1,1,,,,,,2,1,,2,,,1,,1,1,,1,1,2,1,2,4,4,1,3,3,1,3,,1,2,1,3,1,2,3,1,1,4,1,1,,2,1,,,,2,,,1,,,,1,,,,,,,,,,,,,,,73
13401,39,1,1,1,3,2,,1,1,2,,,1,3,4,2,,4,2,3,1,,2,3,2,5,9,1,4,4,8,2,5,4,3,2,5,4,10,6,4,10,7,6,5,6,4,14,14,10,14,6,6,13,15,10,15,12,12,11,20,21,14,14,17,9,22,25,20,20,23,18,24,23,36,30,30,29,32,27,24,28,23,19,28,27,16,26,24,15,9,12,13,5,8,4,2,6,2,2,,,,,,,,,,,,,,,1,,1092
13402,10,1,2,1,,,,,,,2,,,,,,1,,,3,,2,1,3,1,1,1,4,,3,1,1,1,1,1,2,,,,1,3,1,1,2,1,,1,2,,,2,1,1,2,6,4,1,5,6,1,4,5,1,6,1,6,7,1,7,8,7,9,8,4,4,8,9,10,7,3,9,10,9,17,9,7,9,5,4,3,3,3,3,1,3,1,2,,,,,,,,,,,,,,,,,,,,297
13403,2,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,,,,,,,2,2,,,,2,1,,1,,,1,,2,,1,1,,1,2,2,2,1,2,2,2,2,1,,3,1,3,1,1,1,1,1,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,59
13404,7,1,1,,,,1,,,1,,,,,,,1,1,,,1,,1,,1,,2,,,1,2,1,,,1,1,,2,3,,1,3,2,,,,,1,2,2,2,2,2,1,1,4,,2,5,5,3,1,4,2,,2,,1,4,4,5,4,,5,8,4,4,5,4,5,4,3,6,3,9,6,6,1,6,2,2,1,1,1,3,1,,1,,,,,,,,,,,,,,,,,,,185
13501,12,,,,,,,,1,1,,1,,,,,2,,,1,,3,,1,2,1,4,4,1,1,1,2,1,,1,,,4,3,4,3,3,4,3,2,5,5,2,3,3,2,3,2,6,4,9,4,6,7,4,4,4,6,8,5,8,5,7,8,8,10,14,14,16,16,10,21,10,17,12,11,15,14,12,10,16,10,9,9,6,8,4,7,6,5,4,2,2,3,,,,,,,,,,,,,,,,,,487
13502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,,1,,1,1,2,,,,1,1,,,,,1,1,,,1,2,1,,,2,,,,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,25
13503,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,,,,,,,1,,,,,,,,,,1,,1,3,2,1,1,1,3,,1,,,2,1,2,3,2,2,2,2,6,2,2,4,2,3,4,3,3,5,2,2,3,3,4,1,1,,,1,2,2,,1,,1,,,,,,,,,,,,,,,,97
13504,,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,,,1,,,,,1,,,,,,,,1,,,1,,1,,,,,,1,,,,,,,3,1,,1,,,,,1,1,,1,,1,,2,1,,,1,2,3,2,1,2,,,,3,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,39
13505,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,1,,1,,,,1,,1,,,,,,1,2,2,,,,1,,1,,1,1,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,21
13601,5,1,,,,,,,,1,1,,,,,,,,1,2,,1,2,,1,2,,,,1,2,1,,1,,3,1,2,3,,2,,1,2,3,4,1,1,,1,2,1,2,3,4,3,2,3,,4,5,2,3,2,6,1,3,4,6,7,6,5,12,7,10,6,4,4,5,5,3,8,7,10,6,3,3,5,7,7,5,2,1,2,2,1,1,,,,,,1,,,,,,,,,,,,,,247
13602,7,1,,,,,,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,1,1,1,,,,,,1,1,1,1,,2,1,1,1,2,2,2,,2,3,2,2,2,1,1,1,2,,2,3,2,2,2,5,3,2,2,1,2,5,4,2,3,4,3,1,5,2,4,4,2,3,2,4,2,3,,,3,,1,,,,1,1,,,,,,,,,,,,,,132
13603,5,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,1,,,,2,,,,1,,1,,1,,,1,1,3,,,,1,,1,,1,1,2,2,,1,,2,1,2,1,,2,,3,2,3,3,1,2,6,1,2,4,3,7,4,6,3,2,7,7,4,5,5,4,6,5,1,2,5,1,2,,,,1,,,,,1,,,,,,,,,,1,,,,146
13604,2,2,,,,,,,,,,1,,1,,1,,,,2,1,,1,,,1,1,1,,,,,,2,1,,,1,,1,2,1,2,2,,2,1,1,,2,2,1,2,,3,3,,,3,2,1,3,4,1,2,5,5,1,3,4,3,3,5,6,3,6,4,6,5,1,4,2,4,2,5,3,5,1,1,1,5,4,2,1,,2,2,1,,,1,,,,,,,,,,,,,,,,165
13605,10,,,,,,,,,,,,,,,,1,,1,2,,2,2,2,2,2,2,,1,1,,2,2,1,,1,,2,3,1,,2,1,1,1,3,3,,3,3,,4,4,5,3,7,6,5,2,5,6,5,3,3,1,8,8,2,5,7,6,13,8,12,14,6,13,7,12,7,10,10,7,4,10,9,8,8,3,7,6,2,4,3,1,1,1,1,1,,1,,1,,,,,,,,,,,,,,342
