Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.Total 
7302,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,1,1,,2,,2,2,1,1,,3,,2,1,2,1,2,,,5,3,1,4,2,2,2,1,3,3,2,2,2,3,2,1,1,,3,1,,1,,1,1,1,,,,,,,,,,,,,,,74
7303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,,,,1,,,,2,,1,1,,,,1,2,2,,1,1,1,1,,1,2,,2,,1,2,,2,1,1,1,4,1,1,,1,1,,2,2,,1,1,1,,,,,,,,,,,,,,,,,46
7304,2,,,,,,,,,,,,,,1,,,3,,,1,1,1,,,,,2,2,,,,1,1,1,1,,,3,,4,1,1,3,2,1,1,1,1,3,4,2,5,1,3,6,2,2,2,3,3,2,2,4,5,9,11,2,7,6,5,6,13,13,14,14,10,10,13,3,11,8,12,9,7,7,7,8,4,12,6,5,5,4,5,1,2,2,2,1,,,1,,,,,,,,,,,,339
7305,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,1,,,1,1,,2,,,,,1,1,1,1,,1,2,,2,1,,1,2,,,2,,,2,1,1,1,2,3,1,,,1,2,1,,4,,1,1,1,,,,,,,,,,,,,,,,47
7306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,1,,,1,,3,,1,,,,,1,,,,,,2,2,1,1,1,1,,,3,2,2,3,2,3,4,,2,2,1,1,1,2,3,6,,,2,1,2,,,1,4,1,,,,,1,,,,,,,,,,,,,,69
7307,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,3,,1,1,1,,,1,,,,,2,,2,2,,3,,2,3,1,,1,1,3,1,1,1,3,3,5,2,,2,4,3,2,4,6,5,7,2,1,1,4,1,,4,1,5,2,3,,3,2,2,,,,,,,,,,,,,1,,,,,,,,,110
7308,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,1,,1,1,,,1,2,,1,,1,2,,3,2,3,4,2,1,3,,3,2,3,4,2,2,1,5,3,2,3,4,6,8,5,4,7,2,1,6,5,6,5,6,6,5,5,8,2,3,2,4,,1,1,3,1,1,,,,,,1,,,,,,,,,,172
7309,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,1,,,,1,1,,,,1,,,,,,1,,2,,,1,,1,,,1,,,,,,3,1,,1,,,2,1,2,,,,,,,1,,1,,,,1,,,,,,,,,,,,,30
7401,6,,,1,,,,1,,,,,,1,2,,2,2,1,,,2,2,1,2,,,,,,,1,3,1,,,5,,6,1,,5,1,1,1,4,2,5,2,2,10,9,4,3,6,12,4,5,6,8,7,6,8,8,14,9,14,10,12,11,11,17,12,19,13,15,21,17,8,16,15,22,20,14,14,12,15,20,13,19,7,15,12,9,8,10,7,4,3,1,3,,,,,,,,,,,,,,621
7402,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,1,,,2,3,1,,2,2,3,2,2,,3,1,3,3,2,1,3,8,5,3,3,3,3,3,3,3,2,2,2,2,6,2,3,8,8,1,5,4,4,2,1,3,1,,1,1,1,,,,,1,,,,,,,,,,,,135
7403,1,,1,,,,,,,,,,,1,,,1,,,1,,,,,,,1,,,,,,1,,,,,,,,1,1,,1,2,,,,1,,2,,2,,2,5,2,4,,5,5,,5,1,3,5,10,3,3,6,5,6,4,6,5,4,8,6,1,8,6,5,6,7,1,3,5,4,5,1,3,3,4,2,1,3,2,1,3,,1,,,,,,,,,,,,,,195
7404,4,,,,,,,,,,,,1,,,,,,2,1,,,,1,1,1,,1,,3,2,,,1,1,2,2,1,1,1,3,1,1,1,2,4,1,1,5,2,3,2,3,,3,2,1,7,4,3,2,1,2,6,5,5,4,4,5,4,2,10,9,8,9,7,8,8,4,9,11,14,11,10,9,14,18,5,8,10,2,4,9,2,5,4,2,5,1,2,1,,1,,1,,,,,,,,,,336
7405,1,,1,,,1,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,,,,2,1,3,,,1,,,1,1,1,1,2,,,2,5,2,2,4,4,2,1,3,3,2,1,2,1,4,3,4,3,1,3,1,6,7,1,2,1,3,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,103
7406,7,,,,,,,,,,,,,1,,1,,,,1,,,,,,1,1,1,,,,,3,1,,,,,1,1,3,,,,1,3,,2,1,3,,2,2,1,6,1,3,4,8,5,3,5,6,2,4,7,6,4,1,2,1,6,11,11,3,8,12,5,5,8,8,8,7,8,8,11,9,11,7,10,3,4,3,6,3,3,2,3,2,1,3,2,,,1,,,1,,,,,,,298
7407,1,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,,1,,,2,,,,,1,1,,2,,,,1,2,,,4,2,1,1,3,1,,,1,1,1,4,1,2,4,2,3,6,4,6,4,3,3,4,1,1,1,1,3,,4,1,2,2,2,1,3,4,2,2,,1,2,1,1,,1,,,,,,,,,,,,,,,113
7408,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,1,1,,1,,,1,1,,1,,2,,,1,,1,2,2,1,1,1,2,,1,1,1,1,3,1,2,4,3,2,2,2,2,4,1,3,,2,6,2,,2,1,2,4,6,5,3,,5,2,2,1,5,4,,1,1,3,1,,2,,,,,,,,,,,,,,,,,115
8101,31,2,1,2,1,,1,1,,,,1,2,,,1,,1,1,1,2,3,1,5,2,3,2,4,3,5,3,4,3,1,5,1,,1,5,1,4,6,7,5,7,11,6,9,9,14,11,10,10,14,19,12,16,10,18,20,20,15,23,19,25,23,19,19,25,25,37,34,33,31,31,28,28,35,37,41,39,25,55,49,39,40,37,27,31,37,33,20,23,20,19,29,14,11,6,5,4,3,1,,,1,,,,,,,,,1434
8102,18,2,,1,,1,,,1,,1,,,,,1,,1,2,1,1,2,,,1,2,1,1,4,,4,,2,1,3,,3,,4,,2,1,1,1,5,4,7,7,8,4,6,5,6,5,6,4,12,9,5,12,11,6,14,15,11,10,10,8,14,15,8,15,16,15,12,18,23,14,19,16,16,22,20,16,16,18,12,17,12,10,11,9,6,5,2,2,7,2,3,,,1,2,,,,,,,,,,,,647
8103,3,,,,,,,,,,,,,2,,1,,1,,2,2,1,,1,1,,1,3,1,,,2,2,3,2,3,,,,2,,1,,,1,3,2,,4,2,3,4,2,3,5,3,4,9,5,6,6,9,6,3,9,8,11,5,13,12,12,13,4,13,10,13,16,14,5,9,10,12,9,11,19,7,8,12,14,8,4,7,7,5,9,3,2,3,2,,3,,,2,,,,1,,,,,,,439
8104,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,1,,,,1,2,2,,1,1,,1,1,,,,,1,,2,,1,,,,,2,,,2,1,,2,1,,3,3,1,,,,2,,3,3,1,4,4,1,1,4,4,3,5,1,1,2,1,2,,1,,1,1,,,,,,,,,,,,,,78
8105,5,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,,,2,,,1,1,,1,,,,1,1,1,2,1,1,4,,1,1,1,3,1,1,1,3,,4,3,3,4,5,1,4,5,1,3,3,2,4,3,5,1,2,6,3,2,3,3,5,2,2,1,2,1,2,1,2,,2,2,,,,,,,,,,,,,,,,130
8106,6,,,,,,,,,,,,,,,,1,,,,,1,,,,1,2,1,,,1,1,2,,,,,2,2,1,2,3,3,1,2,3,3,3,,,4,4,3,2,1,3,2,5,3,3,8,11,6,7,6,8,4,9,4,5,7,9,4,7,8,8,3,12,11,8,11,6,19,10,6,16,9,7,8,8,7,5,1,3,2,,,1,,,1,1,,,,,,,,,,,,,337
8107,5,1,1,,,1,,,,,,,,,1,,,,1,1,,1,,,,,1,1,,,,,,,1,,,,1,1,,1,,,3,,1,2,2,1,5,3,5,2,5,2,2,2,1,4,6,7,1,3,7,9,6,6,6,10,7,4,4,4,7,11,6,10,4,5,6,6,5,6,6,7,2,6,3,3,1,3,4,5,6,2,3,3,1,5,1,1,1,,,,,,,,,,,,267
8108,11,,,,,,,,,,,,,,1,1,,,3,2,3,1,,1,2,1,3,1,,,1,2,1,2,3,2,1,,3,5,1,,7,2,5,4,3,3,3,2,7,3,8,5,8,4,7,7,6,7,12,12,8,3,11,11,11,11,5,8,11,13,7,9,10,10,12,12,16,11,12,16,13,11,11,12,10,9,10,8,6,6,6,4,4,9,,1,1,,1,1,1,,,,,,,,,,,,497
8109,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,1,,,,,,,,1,,1,,,1,,,4,,1,1,1,2,1,1,,2,1,2,2,3,,1,2,1,2,3,1,2,4,4,2,3,2,4,4,3,4,5,3,6,4,3,6,2,1,1,,,1,1,1,2,,,,,,,,,,,,,,,,108
8110,14,1,,1,,1,,,,,,,1,1,1,2,,1,3,2,,,4,4,3,2,1,1,3,2,,1,3,2,3,4,1,1,1,5,2,3,1,3,4,4,11,6,5,7,10,6,11,11,13,19,10,15,17,16,8,13,15,16,15,19,13,20,29,18,20,24,20,25,25,26,22,17,29,26,24,19,28,34,30,32,27,27,15,21,17,13,12,9,4,8,1,,3,2,3,,1,1,,1,1,,,,,,,,976
8111,3,1,,,,,,,,,,,,,1,,,,1,,,,,2,,,,,,1,,,1,1,1,,,,,,,,3,1,3,2,1,2,1,2,7,3,5,2,5,2,6,3,6,4,7,10,5,8,8,4,13,11,9,7,7,9,11,6,4,13,10,7,11,12,14,9,8,15,10,8,4,8,8,7,8,10,9,6,5,5,4,3,2,,2,,1,,,,,,,,,,,,388
8112,9,1,1,,,,,1,,,2,,1,,,,,1,,1,2,1,1,,,,,1,1,,1,1,1,,,2,1,2,,1,5,,3,1,2,1,3,3,6,5,2,5,3,4,11,4,4,3,5,4,4,12,9,9,7,6,8,10,8,9,12,11,11,19,12,9,17,18,19,8,16,14,26,29,21,17,17,6,11,11,10,5,5,4,5,4,2,1,,2,,1,,,,,,,,,,,,,531
8201,3,1,,1,2,,,,,,,,,,1,,,,,1,,1,2,,,,1,1,2,,,,2,2,1,1,1,,,2,1,1,2,4,,,2,,6,,1,1,2,2,2,1,1,1,2,2,3,3,3,1,1,1,1,5,2,3,2,3,3,3,3,3,5,,3,,6,1,5,3,5,4,4,4,2,3,1,1,2,,3,,2,1,1,,,,,,,,,,,,,,,,152
8202,5,,,,1,,,,,,,,,,1,,,1,1,3,1,1,,1,,1,,,1,,,,1,,1,,,,,,,1,,1,2,2,,3,1,1,,,1,2,,1,1,,5,2,2,,4,2,2,2,3,3,2,1,2,6,1,5,6,5,9,5,3,1,4,4,2,8,5,5,5,5,3,9,3,6,4,1,,3,1,,,,,1,1,,,,,,,,,,,,176
8203,2,,,,,,,,,,,,,,,2,,,,2,1,,,1,,,,,,,4,,,,,,2,,1,,,2,1,1,2,2,,2,2,1,1,2,2,1,4,1,2,2,5,2,1,3,3,6,2,4,2,2,3,4,7,4,7,6,3,4,2,5,5,5,5,3,5,5,11,8,4,6,5,5,7,4,6,2,2,2,1,1,2,1,1,,,1,,1,,,,,,,,,216
8204,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,1,,1,,1,,,,,,3,,,,,,1,,,1,1,1,3,3,,1,2,,1,2,1,1,1,2,,2,1,1,2,1,1,1,1,1,,,1,,,,,,,,,,,,,1,,,,,,,,45
8205,4,,,,1,,,,,,,,,,,,,1,1,,,,,,2,1,1,2,,,,1,,1,1,,,1,,,,2,,,2,2,3,2,1,1,1,2,4,,3,4,,2,4,8,4,9,2,3,3,7,4,5,2,3,3,8,3,7,7,4,1,9,1,1,8,6,5,8,7,4,7,7,6,3,3,5,2,,1,,1,1,,,1,,,,,,,,,,,,,,219
8206,1,1,1,,,,,,,,,1,,,,,1,,,1,1,,,1,,1,,1,1,,1,,,,1,,,,,,4,,2,1,2,,2,1,1,,1,1,1,1,4,2,3,1,1,3,5,1,2,2,4,3,,2,3,2,4,2,1,6,1,3,4,3,,4,4,6,3,2,1,1,4,3,4,5,4,2,2,1,5,4,1,,1,,,1,,,,,1,,,,,,,,151
8207,,,,,,,,,,,2,,,,,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,1,3,1,2,,,,,,,1,,1,,1,3,1,,1,1,1,3,,2,,2,4,2,1,4,4,2,4,,2,2,,1,1,1,,,1,1,,2,,2,,,,,,,,,,,,,,,,,,,67
8301,22,,1,,1,,,,,1,,3,,1,2,,,2,,2,3,3,1,4,4,3,2,2,4,1,1,2,1,2,1,3,4,2,2,3,5,3,3,7,6,7,6,9,7,15,4,11,11,9,7,17,12,16,9,15,14,10,11,14,16,16,12,13,27,25,22,24,22,25,22,28,27,21,31,28,27,29,32,29,26,28,28,28,32,26,16,17,13,13,9,7,12,4,9,1,2,1,1,,,,,,,,,,,,1060
8302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,1,,1,,,1,1,,,,,,,,1,1,,,1,,,1,,,1,2,,1,1,2,,1,1,,3,3,4,1,,,4,,,1,1,,,1,,,,,,,,,,,,,,,,,,,38
8303,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,,2,,,2,,,1,1,,1,,1,,2,3,1,1,1,1,2,1,,,4,5,5,3,2,1,2,3,5,4,5,5,1,1,1,6,7,4,3,3,3,9,3,4,6,2,9,6,1,3,5,5,1,1,,1,,,,1,1,,,,,,,,,,,,,,,,156
8304,4,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,1,2,,1,,1,,1,4,1,3,,4,3,1,1,2,,2,3,3,4,2,3,2,5,3,4,4,3,2,4,2,1,3,2,6,7,3,3,3,1,3,4,3,6,1,1,4,2,3,1,1,1,1,,2,,1,,,,2,,,,,,,,,,,,145
8305,1,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,,,,,1,,,1,2,1,,1,,,2,1,,3,,2,3,,,4,,2,2,2,1,3,2,1,1,2,2,3,3,4,2,4,5,7,2,5,5,7,5,3,6,13,4,3,11,6,13,8,6,6,6,2,6,4,4,5,3,3,,2,,1,,,1,1,,,,,,,,,,,,214
8306,3,,,,,,,1,,,,,,,,,,1,1,1,,1,,,,,,,,,,1,1,,,1,,,1,,1,2,,,2,,2,,1,1,1,4,1,2,,2,1,2,2,3,1,3,1,2,,,1,2,5,4,8,5,7,3,2,4,1,3,3,5,5,2,11,6,1,4,4,1,3,3,2,2,1,1,2,,1,,,2,,,,,,,,,,,,,,,150
8307,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,,,1,,,1,2,,1,1,,1,,2,,3,,,,,2,1,3,2,2,1,,,5,,2,,2,2,2,,1,4,2,,1,,1,,1,,,,,,,,,,,,,,,,,,,,54
8308,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,,,,1,,,1,1,,,,,,,,,1,,,1,5,1,,1,1,1,,1,3,,,3,,,1,1,2,2,1,,,,,,,1,,2,,1,,1,,,,,,,,,,,,,,39
8309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,1,,1,,,,,,1,1,2,,,,,1,,,,2,,2,1,1,2,4,,1,2,4,1,2,3,,3,1,4,1,2,1,,3,4,7,8,2,6,2,,1,1,3,1,,2,3,2,1,1,1,,,,,,,,,,,,,,,,96
8310,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,1,1,1,,,,2,,,,1,,,,2,,1,2,,3,1,5,1,2,,1,1,1,,,1,,,1,,1,1,1,1,,1,,,,,,,2,,,,,,,,,,,,,,,,,42
8311,3,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,2,,,,2,1,1,,,1,2,,1,2,,1,2,1,1,1,1,2,1,1,,1,1,4,6,2,3,1,2,5,,1,3,4,4,2,1,3,2,,5,2,1,,,,,1,,,,,,,,,,,,,,,,88
8312,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,1,,1,2,,,1,,3,1,,,1,1,1,,,1,5,,3,1,1,1,1,1,3,3,3,1,3,5,2,4,3,2,8,1,2,1,6,5,1,5,2,3,4,2,3,4,2,,1,1,1,,,,1,,,,,,,,,,,,,112
8313,3,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,1,1,1,1,,,,2,,,,,2,2,1,2,2,,3,2,,1,2,,1,4,4,1,2,1,2,2,2,1,3,3,4,4,3,5,3,3,7,6,4,5,4,1,3,2,5,5,6,5,8,6,3,3,2,2,3,2,2,2,1,1,,,1,,,,,1,,,,,,,,1,,169
8314,1,2,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,2,,,,,1,,,,1,,2,2,,1,1,,,,,2,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,2,1,1,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,35
8401,14,1,,,,1,1,1,,,1,1,,1,1,4,,,1,2,,1,1,,1,2,2,2,1,,4,1,3,1,1,4,2,4,5,3,1,1,6,3,3,10,2,14,9,9,11,11,9,11,16,13,10,16,6,15,16,15,12,20,15,12,24,26,23,18,23,22,31,20,20,34,29,31,40,34,30,33,33,37,22,34,34,26,29,26,19,19,19,20,9,10,13,5,6,9,4,2,1,,,,,,,,,,,,1148
8402,1,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,1,,1,,,,1,,2,,,1,1,1,1,,3,3,1,1,1,3,,,2,3,2,2,3,,2,1,1,,,,1,3,2,1,4,3,2,3,2,3,2,1,1,3,2,7,6,4,8,1,2,5,2,3,3,8,6,3,4,3,3,7,,3,2,,,1,,,,,,,,,,,,,,,156
8403,1,1,,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,,,,2,,2,,,1,2,2,1,2,2,,,,,2,1,1,1,,,1,,,,,,,,,,,,,,,,39
8404,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,,,,1,2,2,,1,2,1,2,2,5,1,,1,1,,4,3,4,,1,3,1,2,3,3,1,3,,4,1,3,3,3,1,2,5,1,4,2,2,3,3,2,3,6,3,5,1,1,3,,2,2,,2,1,,,,,,,,,,,,,125
8405,3,,,,,,,,,,2,,,1,,,,,2,,,1,,1,1,1,,,,,,,1,,,,,,1,,1,2,,,1,,,,4,1,3,,1,,2,3,2,1,1,2,5,2,3,3,3,1,2,3,2,3,3,2,6,6,3,5,5,2,4,6,3,4,5,4,5,7,5,5,3,7,4,5,3,2,,1,1,1,1,1,1,1,,,,,,,,,,,,,176
8406,3,1,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,1,,1,1,2,,,,,1,2,1,,1,,1,1,2,3,2,,1,2,1,1,2,2,4,3,3,5,,2,2,2,3,1,3,2,6,6,2,5,3,3,4,7,5,2,1,3,2,2,3,3,3,,1,1,2,,1,1,1,,,,1,,,,,,,,,,,,135
8407,1,,,,,,,,,,,,,,1,,,,,1,1,,,,1,,,,,,,1,,,,,,1,,,2,,1,,1,,1,1,1,,1,1,,2,1,,,1,,,,,,1,2,,3,,1,2,1,3,3,3,4,3,5,2,8,3,8,1,3,3,2,3,4,2,2,1,3,3,1,2,1,1,,,1,,,,,,,,,,,,,,,,105
8408,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,,,,,,,2,,,,1,,2,3,,,1,,,1,,,1,,1,,,,1,,1,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,25
8409,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,2,1,,,1,1,1,4,,2,2,1,,1,1,1,1,3,2,3,1,2,4,2,5,1,3,2,2,2,1,3,3,1,4,1,1,1,,2,1,,,,1,1,,,,,,,,,,,,,,77
8410,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,2,2,,,,,,1,1,1,2,1,,,3,,,1,,1,1,2,,1,1,2,2,,,1,2,3,2,3,,1,1,1,2,,1,,2,1,,,,,,,,,,,,,,,,,,,51
8411,5,1,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,1,,2,,1,3,2,1,3,2,2,2,,2,,2,3,2,3,1,2,4,2,2,1,1,,1,,4,2,1,,,2,1,3,1,1,4,4,,1,,1,,,,,,,,,,,,,,,,,,83
8412,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,1,,1,2,,,,1,,1,,,,,2,2,3,,2,1,1,1,,1,3,,,,1,3,,2,1,,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,41
8413,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,1,,1,,1,1,1,1,1,,,1,4,2,,2,3,3,1,3,,2,,1,5,,2,3,4,,5,4,3,2,2,6,5,3,2,3,2,3,1,2,2,2,,,1,2,2,1,2,,3,3,4,,1,1,,,,,,,,,,,,,,,,,114
8414,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,1,,1,,,,2,,,,1,1,,,2,1,2,,3,1,2,2,1,1,2,,,2,2,3,3,3,1,2,2,3,,1,2,5,5,3,,1,3,5,3,4,2,3,1,1,4,3,2,1,1,1,,,,2,1,,1,,,,,,,,,,,,,,,105
8415,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,1,,,1,,,1,1,1,1,1,,,,,1,1,,,,,1,,2,,,1,,2,,1,2,,,3,,1,1,,1,1,1,4,,2,,,3,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,44
8416,1,,,,1,,,,,,1,,,,,,,1,1,,1,,1,,,1,2,1,,1,,1,1,2,,1,,,1,2,,1,1,2,1,1,1,2,4,,2,1,3,5,4,2,5,5,5,6,5,7,2,8,12,10,2,10,10,10,10,5,8,11,11,10,7,7,9,12,5,16,12,8,16,11,10,10,13,8,5,5,3,8,7,3,4,2,2,4,,,3,,1,,,,,,,,,,393
8417,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,2,,2,2,,1,1,1,,1,,,,3,,1,,1,,,,,,1,1,2,,,1,,,1,1,,,1,,,,,,,,,,,,,28
8418,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,1,,,,2,,,3,2,1,1,2,,,,,1,2,1,4,4,,1,2,1,2,1,2,2,4,5,2,2,,3,3,6,1,2,3,8,1,3,2,4,6,5,3,4,4,5,1,2,4,1,,,,1,,,1,1,,,,1,,,,,,,,,,126
8419,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,,,,,1,1,1,2,1,1,1,,,,3,,5,1,1,2,2,1,,3,1,2,1,4,,2,3,2,1,,1,2,1,1,1,1,3,2,1,2,,,,,,,1,,,,,,,,,,,,,,64
8420,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,2,,,,1,2,1,1,,1,,,1,1,1,2,1,3,1,2,,,1,1,2,,1,3,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,37
8421,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,2,1,,2,,1,2,1,2,1,2,3,2,1,2,3,5,2,1,1,,4,5,4,2,1,5,2,1,1,2,4,4,2,7,7,2,3,6,1,4,3,4,,,2,,,1,1,1,,,,1,,,,,,,,,,,,125
9101,31,2,1,1,,1,,,1,,,2,2,1,,1,2,2,3,4,,4,1,3,3,1,2,3,1,2,2,1,1,3,5,6,7,6,4,2,3,5,9,6,7,5,7,7,18,8,14,17,15,16,11,19,14,19,14,20,22,21,25,24,21,22,16,24,23,26,36,30,27,40,35,40,44,36,38,40,42,39,49,38,50,38,47,32,32,36,30,40,29,15,23,16,11,13,10,9,3,3,2,,,,,,,,,,,,1542
9102,3,,1,,,1,,,1,,,,,,,,,,,,1,1,1,,3,1,1,,,1,,1,,,,1,1,,1,,,,1,,1,4,1,1,1,,,5,1,2,2,2,2,1,2,2,1,4,2,3,2,2,5,2,4,6,2,3,5,4,3,3,10,3,8,2,4,3,4,5,7,9,5,5,6,4,5,4,2,1,2,1,1,1,3,4,,1,1,,,,,,,,,,,,199
9103,1,,,,,,,,,1,,,,,,,,1,,,,1,,,,,1,1,,1,2,,,,1,,,,,2,1,,,,1,2,,,2,,,,1,1,,,1,,,1,3,,,1,1,,1,4,3,4,3,1,2,7,4,2,3,5,2,5,10,4,7,2,4,4,5,2,6,2,3,3,3,3,,1,2,1,,,1,,1,,,,,,,,,,,,137
9104,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,1,,,1,1,,,2,,,1,1,1,,,,1,3,,,3,2,1,,1,1,1,2,,1,2,2,,,,,,,,,,,,,,,,,,,,,37
9105,4,1,,,,,,1,,,,,,,,,,,,1,,,2,,,,,,,1,,3,,1,3,,,1,1,,,1,,1,,2,,2,,3,,1,,2,2,3,3,2,2,,,4,,3,2,2,3,1,7,5,4,6,4,2,4,2,3,3,3,5,7,5,6,6,4,3,8,7,4,4,2,1,4,1,2,4,1,,,,1,,,,1,,,1,,,,,,,178
9106,2,,,,,,,,,,,,,1,,1,,1,,,,,,,,,1,,1,,2,,,,,1,1,,,,1,2,,,,,,,2,,,,,,2,1,1,,3,,,1,,3,3,2,,3,1,4,1,2,,1,5,2,4,3,3,,2,,1,4,2,3,,3,4,3,,2,3,1,,1,,,1,,1,,,,,,,,,,,,,,92
