Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.112,muertes.Total 
9107,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,1,,2,,3,3,,,,,1,,2,,1,2,2,2,5,1,,2,2,2,1,2,2,2,2,5,8,,3,2,5,2,4,2,5,8,1,2,4,2,2,2,5,5,4,2,2,,1,1,,,,,,,,,,,,,122
9108,6,,,,2,,,,,,,,,,,,,,1,,,1,1,,1,1,,2,,,1,,2,1,,1,,,,,3,1,,,2,,3,2,,,1,2,1,3,3,2,2,2,4,1,5,9,1,4,2,4,2,5,4,4,8,,7,8,8,3,7,5,11,9,8,6,5,4,4,6,2,8,6,6,2,1,3,3,2,2,2,1,1,,,,,,,,,,,,,230
9109,4,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,1,2,1,,,,1,,3,,,1,1,1,1,1,3,1,1,3,,2,2,1,2,,2,,4,1,,2,2,3,1,2,3,3,2,4,6,3,5,1,1,4,2,7,6,4,5,4,4,2,4,5,5,2,3,5,1,,,5,3,,1,1,,1,,,,,,,,,,,,157
9110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,1,,,1,,,,,1,,,,,,1,,3,1,,1,,1,2,1,,,,,1,2,2,,2,2,,1,1,,1,1,1,,1,1,,,2,,,,,,,,,,,,,,,34
9111,4,1,,,,,,,,,,1,,1,,,1,,,1,2,1,1,,,1,,1,1,,1,,,,1,,,,1,,1,,3,2,,1,3,4,,3,,,1,5,1,5,1,1,2,2,,4,2,3,3,2,7,1,6,4,7,2,7,5,6,9,2,6,4,5,4,7,4,9,8,3,6,10,9,4,5,2,2,3,4,5,1,1,1,1,1,,,,,,,,,,,229
9112,14,,,,,,,,1,,,1,,,,,1,2,,1,1,1,1,1,,2,2,1,1,3,1,,,2,3,,2,,1,,2,2,3,3,1,4,,1,1,2,6,5,1,1,5,9,3,4,2,2,3,5,2,9,9,6,6,4,7,11,3,4,9,3,5,5,8,12,10,10,14,12,10,10,8,7,10,6,10,4,2,4,7,4,5,5,,2,2,1,,,1,,,,,,,,,354
9113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,3,,1,,,1,2,,2,,3,,,1,1,,,3,2,3,1,,3,1,,,1,,1,1,2,,1,1,1,,,,1,,,1,,,,,,,,,,,,,43
9114,3,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,,,1,,,,1,1,,,,1,,,,,2,,2,2,2,,1,3,2,1,,4,7,2,,3,2,3,4,1,1,4,1,2,6,4,7,4,2,4,4,3,5,7,3,7,6,3,5,4,4,3,9,4,5,7,3,4,2,3,3,1,2,5,5,,,1,,,1,,,,,,,,,197
9115,1,,,1,,,,,,,,,,,,,,,1,,2,,,,1,,,,,,1,,1,,,,,,,,,,,1,,,1,,,1,,,2,,1,1,2,1,1,1,2,,,,,2,2,4,4,3,1,2,4,1,4,1,2,3,4,4,2,3,4,4,1,5,4,1,4,3,6,,3,2,3,1,2,,,,,2,,,,,,,,,,113
9116,4,,,,,,,,,,1,,,,,,1,,,1,,,,2,,,1,,,,,,,1,,,,,,1,,,1,2,1,,2,1,1,2,,1,2,1,1,4,1,2,1,3,1,1,2,2,4,3,1,,,1,2,6,6,4,1,3,2,1,2,4,3,6,4,,3,1,1,3,2,1,3,,2,1,1,2,1,1,1,,,,,,,,,,,,,120
9117,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,1,1,2,,1,,1,,,1,2,,3,,1,,,1,1,1,1,3,,,1,6,2,4,2,2,2,3,3,3,4,2,2,2,3,4,2,1,2,4,6,4,3,4,6,4,4,2,5,3,1,2,1,4,1,3,6,2,1,1,,,,,,,,,,,,,,142
9118,,,,,,,,,,,,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,2,,,,2,,3,,1,,1,2,,,1,,1,2,1,1,1,1,,,2,4,3,,2,3,1,,2,,1,1,2,,,1,,1,,1,1,,,,,,,,,,,52
9119,3,1,,,,,,,,,,,,,,,1,1,,,1,,1,1,2,,,,,1,,,,1,,,1,2,1,2,,1,1,1,,3,1,2,2,2,1,3,1,1,2,,4,1,4,2,3,,1,,3,2,2,1,2,3,5,4,4,1,4,5,4,5,4,4,3,7,4,1,2,3,6,5,1,1,3,1,3,1,2,,1,1,,,1,,,,,,,,,,,154
9120,9,,1,,,,,,1,,,,,,,,,1,,,2,1,,,,2,,,1,1,1,2,,,4,1,,,2,,2,2,,3,1,1,1,2,3,2,3,4,2,2,3,1,3,1,3,5,5,4,4,10,2,6,4,9,6,2,6,6,7,5,9,12,4,8,8,8,10,10,5,9,15,6,4,4,5,10,4,3,5,5,6,2,1,1,1,1,,,,,,,,,,,,305
9121,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,,,,2,,1,1,,,3,,,,1,,1,1,,,,,,1,1,2,1,3,1,1,1,2,1,,4,,2,,4,2,3,,4,1,1,1,,4,,,,1,1,,,,,,2,,,1,,,,,,,,,,61
9201,6,,,,,,1,,1,,,,,,1,,,,,,,1,,2,,1,1,3,1,,,2,1,,,1,,2,,,2,2,2,1,1,,2,4,2,2,2,2,5,2,1,7,2,4,2,4,2,6,3,5,4,6,4,1,7,5,3,7,12,12,9,7,8,8,7,11,8,7,10,15,8,10,10,13,6,9,3,8,4,5,2,2,3,1,1,,,1,1,,,,,,,,,327
9202,1,,,,1,1,,,,,,,,,1,,1,,,,1,,,,2,,,,,2,1,,,2,1,2,,,,,,1,,2,,1,,1,1,1,4,,2,,,1,,3,2,1,3,2,1,2,5,,5,2,1,4,6,2,2,3,5,5,6,5,4,4,5,1,5,2,2,1,6,4,1,2,1,3,3,,,1,1,1,,1,1,,1,,,,,,,,,145
9203,2,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,,,2,,,,,,,,,,1,,,,,,1,,2,1,,,3,,1,,1,2,2,1,2,3,,1,2,4,1,3,4,5,4,8,4,3,9,7,3,3,5,3,3,3,3,2,4,2,1,,2,2,1,,,,,,,,,,,,,1,,121
9204,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,1,1,,,,,,,1,,,,,1,,,3,1,,2,1,1,1,,2,,,,,,,1,2,1,3,2,2,,,3,2,3,1,1,4,2,2,,3,,3,1,4,1,1,2,,1,1,,,1,2,,,1,1,,,,,,,,,,,73
9205,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,1,,,1,,,,,,1,1,,,2,,2,1,,1,,,,,1,,1,,1,2,2,1,,1,,,4,1,2,,,1,5,4,,1,2,4,1,,1,3,1,3,1,2,,2,1,2,,,,,,,,,,,,,,66
9206,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,1,,,,,2,1,,,,,,,2,,,,,1,,,1,,,1,1,2,,,1,1,2,1,,1,,2,2,,,,2,1,1,1,,3,1,2,2,,,,1,,1,2,1,,,,,,,,,,,,,,,,,,46
9207,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,1,,,2,,,,,,,,,,,,1,,,1,,,1,1,,,,2,2,,,2,1,,,,3,1,3,4,2,3,1,1,,,2,,3,,1,3,2,1,1,1,4,3,3,1,3,2,,1,,1,,1,,,,,,,,,,,,,,,,71
9208,2,,,,,,,,,,,,,,,,,1,2,2,2,,,1,1,,,1,,,,,,,,,,,,1,,,1,,1,1,,,,,,,2,1,,,,3,,1,,,5,,1,2,2,1,1,1,3,3,2,,3,2,3,1,4,2,2,3,3,3,2,4,1,3,3,1,1,3,1,5,1,,1,,1,,,,,,,,,,,,,97
9209,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,2,1,2,,1,2,,,1,3,3,2,3,1,,1,1,1,3,,3,1,2,,1,,4,3,2,1,1,3,1,,1,3,1,1,1,1,2,3,1,1,1,1,,,,1,,,,,,,,,,,,,71
9210,1,1,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,,3,1,,,1,,2,,,1,1,1,2,2,1,,1,3,1,,1,2,1,1,3,4,2,6,4,5,10,3,4,2,5,5,5,4,6,6,3,,4,5,6,6,2,2,5,5,5,2,2,2,1,,,2,2,,,,,,,,,,,161
9211,1,,1,,,,,,,,,,1,,,,,1,1,,2,,,1,,,,,,1,,,,,1,,,2,,1,,2,1,1,1,1,1,,1,1,1,4,2,4,2,2,1,3,3,3,1,2,5,6,6,4,2,5,3,7,5,2,3,8,4,4,4,12,8,8,9,10,7,6,4,9,10,2,4,7,5,5,9,2,3,1,,2,1,1,3,,,,1,,,,,,,247
10101,43,2,,3,1,1,1,1,,,1,,,4,1,,3,2,5,3,,3,7,3,3,3,2,2,3,5,1,4,1,3,6,6,6,8,1,10,10,8,4,7,9,9,11,10,9,13,13,6,19,13,12,15,8,10,12,9,18,18,21,18,17,19,19,24,16,21,15,22,23,16,16,19,22,28,18,26,21,26,33,17,21,18,22,15,16,23,8,15,10,7,9,7,6,6,2,4,1,,1,,,,,,,,,1039
10102,2,2,,,,,,1,,,,,,1,,,,,1,1,,,,1,2,,2,1,1,,,,1,1,,2,1,,1,3,2,1,,,2,,1,,2,1,,1,2,,4,2,5,,2,1,2,2,5,1,3,1,3,2,2,4,,,6,4,5,4,4,7,3,9,3,6,5,4,8,7,5,4,10,7,5,1,4,2,5,3,5,,1,2,1,,,,,,,,,,,205
10103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,,,1,1,,,,,,1,,2,1,,,,,,,,,,,1,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,18
