Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.114,muertes.Total 
5802,4,,,,,,,,,,,1,,,,1,1,,1,,1,1,,,,,1,,,,1,,,,1,,1,,1,,,,2,1,1,2,2,4,3,,1,3,1,1,1,2,2,4,5,3,7,1,4,6,7,5,6,5,3,6,7,8,6,6,16,10,7,14,10,12,6,10,10,15,8,8,13,13,7,9,13,5,7,6,5,6,6,4,2,1,1,,2,,1,,,,,,,,,,,357
5803,1,1,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,1,1,,1,,1,1,,1,1,,1,,1,,,,,1,1,2,1,2,2,1,2,1,2,1,3,2,1,1,6,2,6,1,3,6,2,2,3,4,3,5,4,5,3,5,1,,5,2,2,2,1,,4,1,,,,,,,,,,,,,,,,,117
5804,8,2,,,,,,,,,1,,,2,,,1,1,1,2,,1,2,2,1,,1,,1,3,1,1,1,2,1,2,,,1,3,2,2,2,1,2,3,3,1,,,8,5,6,5,5,10,6,9,5,12,13,8,14,10,14,16,12,18,12,12,14,18,10,15,16,15,23,19,21,14,24,26,29,19,24,21,27,29,20,19,18,14,15,10,15,12,8,8,3,7,1,2,1,1,1,,,,,,,,,,,776
6101,33,,1,2,1,,,,,,1,1,1,,,1,3,4,4,7,1,5,4,8,4,9,4,2,3,3,4,4,4,4,2,5,5,7,9,7,5,7,4,11,5,12,8,11,9,8,11,15,15,15,18,13,18,16,15,12,15,18,14,15,21,22,20,26,21,25,19,27,33,31,28,28,33,31,33,47,30,42,55,48,46,45,27,30,20,22,19,15,20,17,13,13,7,9,7,4,5,1,2,1,,,,,,,,,,,,1386
6102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,1,,,,,,1,,1,2,,1,2,2,,1,,,,,,1,,1,1,,3,1,1,,2,3,2,3,1,3,3,2,,1,1,4,,3,2,,1,1,,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,62
6103,2,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,1,,,,,,,1,,,,1,1,,,1,2,,1,3,1,1,2,1,1,1,2,2,2,1,,1,7,1,1,2,2,1,,1,,,,1,,1,,,,,,1,,,,,,,,,,,,,52
6104,1,,,,,,,,,1,,,,1,,,,,,,,,1,1,1,,1,1,,1,,,,,,1,2,,1,,,,,,1,,2,,1,1,,3,,1,3,1,4,,2,,4,,2,,,,2,2,4,,,1,1,2,2,4,3,1,3,6,4,3,2,4,1,6,1,3,5,6,1,2,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,116
6105,4,,,,1,,,,,,,,1,,,,,,2,,,,,1,,,2,1,1,1,1,,1,,,,,1,,,,1,,2,,,2,,1,,,3,1,1,2,1,2,3,,3,2,1,,,,1,2,2,1,,2,3,,3,1,5,2,3,3,6,3,3,6,,2,3,5,3,,2,3,1,5,,2,,,1,1,,,,,,,,,,1,,,,,,,117
6106,5,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,1,,,1,2,1,,1,,1,,1,1,1,1,,2,2,3,3,2,1,4,3,1,,,4,4,5,5,3,2,3,2,3,4,3,3,3,3,1,3,4,5,4,3,6,5,6,1,3,2,3,2,5,1,5,4,2,4,1,1,,2,2,,1,1,,,,,,,,,,,,,,,,,,165
6107,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,1,,,,1,,1,1,,,,,3,,1,,1,2,,1,,2,,2,1,2,1,3,2,2,3,2,3,1,1,2,1,1,4,1,3,5,2,3,2,3,2,6,4,3,7,8,,6,11,5,1,2,5,8,4,3,2,7,6,3,,5,,2,4,,2,,1,1,1,,,,,,,,,,,,,,177
6108,3,,,,,,,,,,,,,,,,2,1,,,,1,,,,1,,1,,1,2,1,1,1,1,2,,1,,,2,1,,1,1,1,2,1,2,,1,,1,1,4,2,3,3,3,4,5,4,4,4,4,3,7,8,1,3,5,5,3,5,3,3,7,2,6,5,4,3,3,3,10,7,2,3,2,4,4,2,4,2,4,1,1,2,,,2,,,,,,,,,,,,,,,202
6109,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,1,1,,1,,1,2,2,,1,1,,2,,1,3,3,1,,,4,,3,2,2,3,2,5,1,2,,5,2,2,,1,3,2,3,2,2,2,2,1,1,,,,3,,1,,2,1,,,,,,,,,,,,,,,,85
6110,2,,,,,,,,,,,,,,,,1,1,,,,,2,2,,,1,1,2,,1,,,,,,,,1,,,1,1,3,1,,1,1,,,1,5,1,2,1,,,2,3,3,1,5,2,1,1,1,2,,,4,2,1,1,4,1,2,2,4,1,1,2,1,6,3,4,4,2,3,6,2,1,4,1,3,,1,,1,,1,,,,,,1,,,,,,,,,,122
6111,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,1,,2,1,2,,,,2,,,1,,,,,1,1,1,,,1,,1,,,1,1,1,,1,,,3,1,2,2,2,1,1,1,3,1,7,4,3,1,,1,3,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,63
6112,1,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,,,,,,,,,,,,,1,1,,,1,1,,1,1,,,,1,1,,1,,1,,3,1,4,,2,3,2,,,,1,5,5,2,2,3,5,2,3,2,3,,3,4,3,8,2,3,3,4,2,1,1,4,2,1,2,2,1,1,,1,,,,,,,,,,,,,,,,,112
6113,2,,,,,,,,,,,,1,,,,,,,,1,,1,,1,,,,1,,,,1,2,,,,,,,2,,1,,1,,,1,1,2,2,3,1,,,1,1,,5,1,,2,3,4,,3,2,2,1,2,2,1,,3,5,5,7,2,6,6,2,2,5,4,5,8,3,3,1,1,1,3,1,,,1,2,1,1,1,,,,,,,,,,,,,,,,133
6114,1,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,1,,1,,,,1,,,,1,,,1,,1,1,1,1,1,1,,,1,4,,3,1,1,,3,5,2,,4,3,1,3,4,3,1,2,1,1,4,2,3,3,1,3,2,2,1,1,2,1,,,,1,,,,,,,,,,,,,,,,,,85
6115,9,1,,,,,,1,,,,,,,1,1,2,,,,1,,,2,,1,1,,3,,1,,1,1,,1,2,1,,,1,2,5,,,3,3,,1,,,5,4,5,5,3,2,5,6,2,5,,4,5,2,6,11,6,7,7,10,4,7,6,6,9,9,7,10,7,9,15,8,13,8,8,12,5,5,5,3,5,3,3,1,3,3,1,2,1,1,1,,,,,,1,,,,,,,,326
6116,3,,,,,,,,,,1,,,,,1,,1,,,,,,1,1,,1,,,,,1,,1,,,,,,2,1,1,,2,,1,,,,1,,1,3,2,,,,2,3,3,2,2,1,2,1,3,3,2,,4,1,1,4,,1,6,5,3,3,3,2,3,2,1,3,2,2,2,4,1,,,,3,2,1,2,1,,,,,,,,,,,,,,,,,,111
6117,5,,2,,,,,,,1,,,,,,1,1,,,,,1,,,,,,1,,,,,1,1,,1,1,1,,3,2,,1,,5,,2,1,2,2,1,1,2,3,,6,6,3,,3,5,2,5,5,5,9,5,11,4,4,1,4,8,5,8,9,9,2,14,16,6,9,4,9,8,8,7,8,7,8,5,4,7,4,2,2,2,2,,1,3,,,,,,,,,,,,,,,297
6201,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,1,,1,1,1,2,1,,2,1,2,,,1,2,,5,5,2,,2,,2,4,5,2,,2,3,3,2,4,1,4,3,2,4,1,,2,,,1,,,2,1,,,,,,,,,,,,,,,,,,83
6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,1,,2,,1,,,,,1,,2,2,,,,,2,1,1,,2,,,,1,1,,,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,26
6203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,2,,,,,,,1,,,,,2,2,1,1,,,,,,,,1,1,,,,1,,,,1,,,2,,,1,2,2,2,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,29
6204,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2,,1,,,1,,1,,,,1,1,,,1,1,,1,1,1,,,1,1,1,,1,1,1,1,1,2,2,1,,1,1,1,2,,3,1,4,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,50
6205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,2,,1,,,,,,,,1,1,,,1,,1,1,,2,4,2,1,2,,2,1,2,3,2,,1,1,2,1,3,2,1,2,,1,1,,2,3,1,,,1,,,,,,,,,,,,,,,,,54
6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,1,,,,1,,,2,1,,,,1,,1,,2,,1,,,1,1,1,,,,2,1,1,1,1,1,2,1,6,1,,1,2,3,1,,1,,1,,2,,,,,,,,,,,,,,,,45
6301,5,1,1,,1,,,,2,,,,,,,,1,,1,1,1,,,1,1,,1,,2,,1,,1,,1,,,2,3,6,1,3,3,2,3,3,4,3,3,2,7,5,3,6,1,1,3,9,7,7,2,3,5,3,4,5,10,5,7,8,4,13,10,7,9,8,12,15,6,7,13,12,11,15,12,14,7,17,13,10,9,2,8,3,3,3,3,4,2,2,3,2,,,,,,,,,,,,,,420
6302,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,2,3,,,,1,,1,1,,1,1,,,1,,1,2,4,1,1,,2,2,5,3,2,3,5,1,2,1,4,3,2,5,5,2,6,3,,1,,4,4,2,3,5,1,,,1,,,,,1,,,,,,,,,,,,,103
6303,2,,,1,,,,,,,,,,,,,3,1,,,,1,,,,,,1,,,1,1,1,1,,1,3,,,,,3,,1,3,1,2,4,2,1,4,1,,1,1,1,,1,4,3,6,2,4,4,4,4,2,3,6,3,2,5,5,8,5,4,4,5,10,11,6,4,4,8,8,3,3,1,5,8,2,3,2,4,,2,1,3,1,,,,1,,,,,,,,,,,,,216
6304,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,1,,,,1,1,,,,2,2,,,,,1,,,2,,1,,1,2,1,,,1,2,1,1,2,,4,,2,2,1,2,1,2,3,,2,3,1,1,,1,1,,,,,,,,,,,,,,,,,,,57
6305,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,2,,1,,,,,1,,,,1,1,,,1,1,1,,2,1,1,,3,2,2,1,,1,,1,2,3,3,5,4,2,4,3,3,1,1,6,6,5,1,7,3,3,1,3,3,2,2,3,,3,,2,1,2,5,,1,,1,,,,,,,,,,,,,,,,,117
6306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,,1,2,1,,,,,,,1,1,1,1,1,1,,,,,,1,1,2,1,2,,2,1,,2,,1,3,2,1,1,,3,2,1,2,1,1,5,,1,,1,,,2,1,,,,,,,,,,,,,,,,,54
6307,4,,,,,,,,,,,,,,,,,,,,1,2,,,3,,,,,1,1,,,,,,,,,,,,,1,1,,,1,,,1,1,,3,,1,1,,,,3,3,2,2,3,,1,,3,1,,2,1,2,,1,,,1,1,,1,6,3,2,4,4,1,1,3,,7,1,,,,1,3,2,,,,,,,,,,,,,,,,,87
6308,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,2,,,,1,,,,1,,1,,1,,2,3,2,1,,1,1,,1,2,2,1,1,3,3,1,2,1,,,2,1,2,4,,3,3,2,,,1,,,1,,,,,,,,,,,,,,,,,56
6309,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,,,,,,1,1,,,,1,,,,,,1,1,,1,2,1,,2,,,,1,1,3,,2,,,,,,,,,,,,,,,,,,,,,,27
6310,2,1,,,,,,,,,,,,,,1,,,1,,,,1,3,1,1,2,1,1,,,,1,,,1,,1,1,1,,,,,1,1,1,3,2,3,1,1,1,1,4,3,,1,2,3,5,2,2,2,1,2,3,4,7,2,6,3,9,8,4,14,5,4,9,5,2,8,10,10,8,7,5,11,9,10,6,2,2,4,,1,1,2,1,,3,1,,,,,,,,,,,,,,248
7101,19,2,,,,1,1,1,,,1,,1,1,,1,4,1,2,2,1,,,4,4,1,2,6,5,1,5,4,,2,2,4,1,3,3,2,3,6,3,4,4,12,7,13,7,13,12,11,16,9,14,13,5,12,12,10,11,20,20,21,23,20,32,17,24,36,25,38,32,29,30,28,37,40,37,38,38,45,33,26,43,29,28,27,21,27,29,25,17,19,18,8,6,8,7,3,2,2,3,,1,,1,,,,,,,,,1297
7102,6,,,1,,,,1,,,,,,,,,1,1,,,3,,,,,1,1,1,2,1,,1,,,1,1,,1,1,2,1,,,,3,2,2,1,1,1,,,5,2,3,5,4,4,5,1,2,6,5,4,4,4,6,12,4,4,2,10,10,7,6,3,10,8,7,10,9,8,6,7,7,11,5,5,5,2,2,4,3,3,,1,2,6,,1,2,,,,,,,,,,,,,,,279
7103,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,1,,,2,,3,,,2,,,2,1,1,,1,,,2,,3,2,2,1,1,1,2,2,5,2,,1,,1,1,4,,2,1,1,6,5,5,7,1,3,1,2,5,5,2,,1,,,,,1,1,,,,,,,,,,,,,,97
7104,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,1,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
7105,3,2,,,,,,,,,,,,,1,1,,1,,,,1,,,,,,,1,,,1,2,1,1,,,,,,,,,,1,2,1,1,3,,,1,,1,3,3,3,,2,2,1,,3,2,,2,1,3,5,3,2,5,3,3,2,3,1,3,2,4,3,4,7,1,9,3,2,3,2,1,2,2,1,,,3,4,,,,,,,,,,,,,,,,,,,133
7106,2,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,2,,1,,,,,,2,1,1,3,1,,1,2,,,,1,,1,2,2,1,2,,,2,3,1,3,3,,,2,,2,,,,2,,1,,,,,,,,,,,,,,,,,,49
7107,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,,,,,,,,,,,1,2,,,,,1,1,,,,,1,2,,,1,,1,1,,,,2,,2,2,1,1,2,1,,,,4,1,2,2,2,2,4,3,1,4,1,1,,4,1,,1,,,2,1,,,,,,,,,,,,,,,,,,,,62
7108,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,1,,,,,,,,1,,,1,,,2,,,,1,1,,,2,1,2,,,1,1,2,1,2,4,2,3,3,1,3,2,5,1,2,1,,4,4,,3,2,3,2,1,,1,3,1,,2,2,1,1,,,,,,,,,,,,,,,,,,80
7109,2,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,2,,2,1,,1,,1,2,2,1,4,,1,1,1,1,2,,,3,2,1,2,2,1,2,4,1,2,6,5,7,2,3,,4,2,4,4,3,1,12,8,6,9,6,8,6,10,3,4,3,7,8,9,5,6,2,5,4,8,3,5,3,2,2,1,,1,2,3,,,,,,,,,,,,,,,,241
7110,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,1,,,,1,1,,,2,2,2,,1,,2,,1,1,3,3,,,4,,2,,,1,,1,1,3,2,,1,4,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,53
7201,2,,,,,,,,,,,,,,,,1,,2,2,,3,1,,,,1,2,,,2,1,,1,2,2,1,1,,,1,1,1,2,2,2,3,1,,,4,3,2,2,3,2,1,2,3,2,3,2,6,4,3,6,3,7,6,12,8,5,6,7,7,6,10,6,8,9,10,10,9,13,8,12,9,9,7,12,8,11,8,9,8,4,2,,2,1,,,,1,2,,1,,,,,,,,,341
7202,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,1,2,1,1,1,,,,1,2,1,1,,1,,1,1,2,,1,3,1,3,3,1,3,1,1,3,3,,,1,,1,2,1,,,1,,,,,,,,,,,,,,,,,,53
7203,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,2,,,1,1,,1,1,,,,,,,,2,,,1,1,,,1,,,,2,1,,1,,1,1,2,2,,2,1,,1,1,2,2,,1,2,,1,,,1,1,1,2,,,,,,,,,,,,,,,,,42
7301,15,1,,,,,,,,,,1,1,1,1,,1,2,3,6,,,1,2,1,1,1,3,,,5,,2,1,1,2,2,4,3,6,2,3,4,5,8,4,5,6,6,6,10,5,9,9,7,10,10,16,9,13,8,7,9,10,11,11,15,19,14,16,20,17,19,16,22,18,19,24,22,18,17,19,35,31,24,16,21,15,26,26,14,14,10,7,10,4,5,6,1,1,,1,2,,1,,,,,,,,,,,835
7302,1,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,2,,,,,,,1,,1,1,1,,1,1,,,,1,,2,3,,1,,3,1,,2,3,2,,2,,1,,3,4,2,,3,3,3,1,,2,2,3,1,1,3,2,4,2,2,1,,3,,,,,,,,,,,,,,,,,,,,,79
7303,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,2,1,,,1,1,,,1,2,,3,2,3,2,3,2,3,1,,1,,1,,3,4,,4,,4,1,3,1,2,1,,,,,,,,,,,,,,,,,57
7304,9,,,,,,,,,,,,,,,1,,,1,,,1,1,,2,1,,1,1,,,2,,,,3,2,,,1,,,,,2,2,,4,3,2,3,3,3,6,6,6,2,6,3,5,5,2,7,5,10,3,6,8,11,3,3,6,5,6,10,9,11,6,11,9,11,10,10,12,15,7,9,15,7,5,8,2,6,3,14,4,4,1,1,,,,2,,,,,,,,,,,,,364
7305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,1,,1,1,,,,,,1,1,2,,,1,,1,1,1,,2,1,,,1,,1,2,2,1,,1,,2,,1,3,1,1,1,1,1,2,2,4,2,1,1,4,1,2,1,,1,1,,,1,,,,,,,,,,,,,,,,,,59
7306,1,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,1,,1,1,1,,,,,,,,2,,,,1,,1,1,1,,1,,,,1,4,1,2,3,,1,3,2,2,,1,1,2,1,2,1,3,3,2,3,1,3,1,1,,1,1,1,3,2,2,3,3,2,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,83
7307,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,4,,1,1,2,,,,1,1,,2,1,2,4,1,1,3,,2,1,2,2,3,,2,4,1,2,3,2,,4,1,2,4,3,3,7,3,8,4,3,3,4,1,1,2,,7,3,2,1,1,1,,,1,,,,,,,,,,,,,,,,122
7308,5,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,3,1,1,,1,3,1,,,,,1,3,1,2,,1,1,,5,1,,1,1,2,1,1,3,1,4,4,3,3,,3,3,2,5,6,1,7,4,3,6,3,5,6,8,5,4,4,8,7,2,3,2,3,3,2,2,,1,,,,,,,,,,,,,,,,,,166
7309,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,1,1,,,,,,,,3,,,,1,,,1,3,,2,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,21
7401,4,1,1,1,,1,,,,,,,,1,,,2,,,1,,2,3,2,1,1,,,,1,1,1,1,1,,1,,1,1,,1,5,2,2,4,,2,5,6,7,1,8,6,6,8,6,4,6,5,6,5,15,4,3,7,11,8,11,12,14,12,14,13,10,14,14,9,18,16,16,18,22,19,21,17,13,9,16,16,12,12,12,10,3,8,9,1,4,2,2,2,1,,,,,,,,,,,,,,574
7402,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,1,,,1,,,1,,,,,,,,,1,1,1,,2,1,,1,1,,1,3,,1,,3,,2,4,,1,2,1,3,1,5,1,1,3,3,2,3,,4,2,,7,1,4,1,1,4,2,4,5,4,5,4,4,2,2,2,2,2,2,,,1,1,,,,,,,,,,,,,,,,120
7403,2,,,,,,,,,,,,,,2,,,2,,,1,1,,,,,,,1,,,1,,,,1,1,,,,,2,1,1,1,1,1,,,2,1,1,,2,3,3,2,3,,4,1,2,1,,3,1,2,2,4,4,4,5,4,7,3,7,8,9,7,11,7,6,7,5,1,6,6,4,9,6,1,5,4,1,1,2,1,1,1,,,,,,,,,,,,,,,,,199
7404,4,2,,1,,1,,,,,,,,,2,,,,2,3,,,1,,1,1,,,,,1,,,1,,,1,3,2,,2,1,,1,2,2,1,,1,2,2,1,2,3,3,,1,,5,1,2,2,2,4,3,8,4,8,6,5,5,4,7,7,9,4,4,8,7,10,9,10,8,9,11,6,8,12,9,8,7,7,2,2,4,2,2,2,,,,1,1,,,,,,,,,,,,,285
7405,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,,,2,1,2,1,,,,1,,1,1,,4,1,,,,1,2,1,3,3,1,2,5,3,2,1,3,3,1,1,3,4,4,4,5,2,1,2,3,,3,1,,,,2,,,,,,,,,,,,,1,,,,,,91
7406,5,,,,,1,,,,,,,,,,,1,1,1,,,,1,1,,,,,,,,,1,,,1,1,,,,,1,,3,,2,2,1,3,3,2,4,6,2,2,2,6,1,3,4,3,10,3,4,3,7,4,7,7,6,8,6,8,4,10,7,5,4,8,10,6,14,11,7,10,13,10,11,8,10,4,5,5,2,4,4,,1,,2,,1,,,,,,,,,,,,,,313
7407,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,1,,1,,,,1,,,1,,,,1,,,1,,1,,,1,3,2,4,,1,2,2,1,1,4,5,4,2,1,2,2,1,4,2,3,2,2,3,2,2,3,1,2,5,3,1,2,2,7,6,4,2,3,3,3,2,1,1,1,1,1,,,,1,,,,,,,,,,,,,,124
7408,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,1,,,1,,,,2,,,,1,,,,1,1,,2,1,,1,,1,2,,2,,1,1,1,1,1,1,1,2,2,2,6,,3,4,2,4,1,2,3,4,4,,2,1,4,2,5,6,2,,1,,4,2,1,,2,1,1,,,,1,,,,,,,,,,,,,,,,101
8101,18,1,,1,,1,,3,1,2,,,,,1,2,1,1,1,2,5,3,,1,3,2,2,1,1,1,2,3,2,4,2,2,3,2,5,5,1,3,2,8,7,7,8,7,8,8,8,9,7,6,19,12,12,13,12,20,20,13,15,19,16,23,22,25,28,29,18,25,20,27,26,24,33,25,27,31,50,49,40,34,37,34,36,43,29,30,32,28,23,18,9,14,21,13,8,5,4,1,3,1,1,1,,,,,,,,,,1291
8102,11,,,1,,1,,,,,,1,1,,,2,,,,1,,1,,3,1,2,2,,1,1,1,,1,3,2,,1,4,2,3,2,3,2,3,5,4,4,3,9,2,5,6,7,2,8,8,10,15,5,8,8,4,7,8,13,6,13,18,13,17,7,11,12,15,17,11,19,13,14,16,14,11,14,16,21,11,15,17,9,12,14,13,5,6,5,5,2,7,,2,1,1,,,,,,1,,,,,,,,601
8103,11,,,1,,,,,1,,,,,1,,,,,,,2,,,2,1,,3,,,2,2,,,1,1,2,1,1,1,3,2,1,1,2,5,,2,3,1,1,2,5,7,3,3,4,3,5,5,4,8,4,5,7,7,6,6,5,10,11,12,5,10,15,7,17,10,13,11,10,8,9,23,10,12,12,12,15,11,11,13,8,8,5,10,2,4,3,1,3,,,1,1,,,,,,,,,,,,456
8104,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,2,,3,,1,2,4,,1,3,,,1,2,1,3,,,,1,2,,1,2,1,1,2,8,,2,3,3,1,2,2,2,2,2,4,1,,1,,,,,,,,,,,,,,,,,,,,72
8105,2,,,,,1,1,,,,,,,,,,,,2,1,,,,,,,,1,2,1,,,,,,,,,1,,2,,,,,,1,,,2,1,,1,1,1,3,2,2,1,,4,3,5,2,3,1,4,5,2,5,4,2,4,2,5,3,2,1,1,4,3,4,5,7,4,1,2,3,2,,3,5,1,4,4,2,3,3,2,,1,,,1,,,,,,,,,,,,151
8106,2,,,,,,,,,,,,,,,1,,1,1,,,1,1,,,1,,,,1,,1,2,,1,1,,,2,3,2,3,5,2,2,1,6,2,3,3,5,4,3,6,5,8,3,9,4,6,2,4,5,11,6,5,8,4,7,8,8,6,3,5,8,7,3,6,4,6,8,10,12,14,11,6,10,8,13,8,6,2,3,5,5,2,2,1,1,,,,,,,,,,,,,,,,,344
8107,4,,,1,,,,,,,,,,,,,,1,,,1,1,,2,,,1,1,1,,1,1,,,2,1,,2,2,2,,1,1,1,,2,2,4,,1,4,2,1,3,7,2,3,3,5,4,3,,6,6,1,8,4,4,11,1,4,5,1,8,7,5,6,4,8,6,10,8,8,6,9,11,9,13,12,5,3,3,2,5,4,2,3,4,1,,,1,1,1,,,,,,,,,,,,289
8108,20,1,,,,1,,,1,,1,,1,,,1,,1,,1,1,2,,,3,,1,2,1,,,4,3,2,1,2,,3,2,,1,3,,2,5,2,4,5,3,1,12,4,8,6,2,6,5,7,6,7,11,8,6,6,11,7,8,6,5,9,9,8,7,5,9,16,12,7,10,15,13,10,15,18,7,11,5,8,3,7,6,9,5,4,2,2,1,,4,1,,2,1,,,,1,,,,,,,,,454
8109,1,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,,,1,1,1,,3,,1,1,2,,,1,,,1,,2,3,1,1,4,3,1,3,3,2,3,2,4,4,2,3,3,3,4,4,1,7,3,3,3,5,2,4,4,3,1,1,5,,,,,1,1,1,,,,,1,,,,,,,,,,120
8110,9,,,1,,,,,,,,,,,,1,1,3,,1,1,1,1,4,2,2,3,3,1,2,4,1,1,,,3,3,3,2,3,3,4,5,4,2,8,14,7,4,10,7,8,7,9,7,11,14,16,14,8,18,10,16,13,16,19,12,13,25,28,20,19,20,21,18,35,25,20,28,26,28,25,29,18,38,29,28,22,21,14,19,18,10,11,13,8,3,6,3,,2,1,,,,,,,,,,,,,,966
