Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.Total 
3301,7,1,1,,1,,,,,,,,,,,1,,,2,1,,3,,,,,1,,,1,3,,2,2,2,,2,1,1,4,,3,,1,4,5,1,2,2,3,1,2,1,2,1,,2,1,4,6,3,8,6,9,7,4,4,9,4,5,4,6,7,5,6,8,11,8,7,5,10,12,5,9,5,10,9,4,6,3,3,3,3,4,6,3,1,1,,1,1,,,1,,,,,,,303
3302,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,1,2,,1,,,1,,,,,3,,,2,1,1,1,2,2,1,,,,,1,3,,,,,1,,1,,,,,,,,,,,,,,31
3303,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,1,2,,1,,,,,1,1,,1,,1,,,2,1,,,,,,1,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,23
3304,1,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,1,1,2,,,,1,1,2,1,2,1,,,,1,1,,1,,2,,,1,1,2,3,1,1,,,1,1,2,,,,1,1,,,,,,,,,,,,42
4101,22,6,1,,1,1,1,,1,,,,,,1,,3,2,3,4,4,3,2,4,2,3,4,1,2,3,1,2,3,3,1,2,3,5,6,2,4,2,7,9,10,8,7,9,4,9,8,10,11,10,8,7,12,8,8,5,13,10,11,16,16,13,9,16,11,14,18,14,14,18,19,20,25,30,21,32,35,21,20,34,27,21,22,24,24,19,20,14,18,11,9,8,8,8,4,5,2,,2,1,,,,,,,955
4102,21,,1,1,,,,,,1,2,,,1,1,3,1,1,5,3,,2,3,,1,3,,,4,2,2,5,1,2,,5,4,5,3,2,3,7,5,6,5,3,9,1,5,4,8,5,6,10,4,3,9,2,8,7,13,8,13,11,17,9,19,27,18,14,14,23,23,21,21,23,28,28,21,28,18,21,20,21,16,23,18,21,16,16,21,16,13,8,7,5,4,3,4,,3,1,,1,,,,,,,850
4103,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,,,,,2,,1,,2,,,2,1,,,,1,,,1,1,,,,1,1,,1,,1,,,1,,2,1,1,1,1,1,2,2,2,2,1,1,2,,,2,1,1,2,2,,3,3,1,3,1,1,,,,1,,,,,,,,,,,,60
4104,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,1,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,12
4105,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,1,2,1,,,1,2,1,1,1,,1,2,,,1,,,2,,,,,,,,,,,,,,,,,,24
4106,2,,,,,,,,,,,,,1,,,1,,1,,,,,,,2,,,,,,,,1,1,,2,,,,,1,,,,1,1,,,,2,3,,2,,,2,2,,,2,1,2,2,1,2,3,1,2,,2,1,,2,2,1,3,4,3,1,3,4,2,3,2,3,4,2,2,1,4,3,2,,1,5,1,1,1,,,1,1,,,,,,,,106
4201,2,,,,,,,,,,,,,1,,,,1,,2,,1,,1,,,1,,2,,,,,1,,2,,,2,,1,1,,,2,1,2,1,,,1,1,1,1,3,,1,,2,2,1,1,2,1,2,5,5,2,3,5,6,5,9,4,6,3,5,4,3,4,8,2,3,4,6,7,2,1,2,6,6,2,4,2,1,,2,3,,1,,,,1,,,,,,,175
4202,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,1,,2,2,,2,1,,1,,1,,1,,3,2,1,,1,,1,1,1,,2,1,2,2,3,,3,,2,1,2,,1,,1,1,1,1,,,1,,,,,,,,,,,52
4203,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,1,,,,,,1,1,1,1,,,1,,,1,1,2,,1,,1,2,2,6,,1,2,2,5,1,3,2,2,2,4,4,4,1,4,2,1,3,3,3,3,1,4,2,3,1,1,3,3,,1,1,,,,,,1,,,,,,,,,103
4204,2,,,,,,,,,,,,,,,1,,2,1,1,,,1,1,,,1,,1,2,1,1,,2,,,1,,,2,,1,,1,,,,1,,,,1,1,2,,1,,1,2,3,2,1,1,1,1,1,,3,4,1,3,3,1,7,5,2,6,3,8,8,5,2,3,3,3,5,8,,3,4,2,1,4,3,1,1,,,,,,,1,,,,,,,,144
4301,15,1,,,,,1,,,1,,,,,2,1,1,5,3,,4,1,4,1,2,,3,2,4,1,2,4,4,3,2,1,2,1,,2,2,2,3,,4,4,3,6,2,6,,3,1,8,3,2,6,4,5,6,6,5,4,5,11,6,9,13,11,11,11,14,11,13,13,15,18,28,28,10,28,12,19,12,11,14,21,9,15,10,11,12,8,7,3,5,4,3,2,2,2,,1,,1,,,,,,597
4302,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,,1,,1,,,,,,2,,,1,,1,1,2,1,,,1,,,1,1,4,4,2,1,2,2,2,3,3,1,1,7,4,4,1,4,2,3,3,1,2,3,3,6,1,3,4,2,1,1,4,2,,,1,,1,,1,,,,,,,,107
4303,5,2,,2,,1,,,,,,,1,,,,,,,,2,,,1,,,1,,1,,,,1,1,,,,,1,,,2,,2,1,,1,1,,1,1,,1,,1,1,1,,2,1,2,,1,3,3,1,1,2,3,3,2,2,4,5,2,3,5,3,2,1,10,5,1,5,2,1,3,3,9,1,,3,2,3,3,,2,1,,,1,,,,,,,,,,138
4304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,1,,,,,,1,,,1,1,2,,,1,1,2,1,1,,,2,,5,,1,1,2,,6,1,1,,1,1,2,2,5,1,,1,1,1,1,2,2,2,,,1,,,,,,,,,,,,59
4305,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,,,,,,,,1,,1,,1,3,1,,,,,,1,1,1,2,1,,2,,2,,2,2,1,,1,,2,,2,2,,,,,,,,,,,,,,,,,,37
5101,32,4,,2,,1,2,1,1,1,1,,1,1,,2,1,4,1,6,4,7,,3,9,6,8,1,3,3,7,3,5,7,7,5,7,5,5,5,6,9,10,13,9,17,9,11,14,17,12,17,9,15,27,14,16,15,20,26,25,30,32,25,43,32,31,42,37,32,42,39,40,51,60,42,67,63,64,63,66,71,55,59,58,64,51,42,52,26,30,31,24,30,18,17,10,8,5,6,8,5,3,1,1,,,,,,2048
5102,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,1,,1,,,1,,1,,1,,,1,,,1,2,2,1,1,,,1,1,1,1,2,1,1,2,4,2,,,1,,3,1,1,3,2,4,1,4,4,3,6,5,1,2,3,6,,5,3,,5,5,,,1,2,1,1,1,,2,1,,,,,,2,,,,,,112
5103,3,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,1,2,,1,1,1,1,,2,,,,1,,,1,1,1,3,,2,3,3,2,3,,,,2,2,1,,3,2,,2,1,,1,4,4,3,5,,5,5,6,5,6,6,8,6,2,5,8,6,6,2,2,5,6,2,4,4,2,1,3,,1,2,,,1,,,,,,,,,175
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,4
5105,3,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,,,,,,,1,,,1,,,,,,,,,1,,,2,,,2,,1,1,4,,1,2,,,3,3,3,,,3,,,,2,2,5,,2,2,1,,2,6,3,3,1,3,3,4,1,1,5,1,2,1,,1,4,,,,,,,,,,,,,,,,,90
5106,15,1,1,1,,2,2,,1,,,,,,2,1,1,,2,4,1,,1,1,,4,1,,4,1,1,,4,2,1,1,2,6,1,4,1,2,1,3,2,2,5,3,4,7,8,7,5,12,4,5,6,6,3,16,10,11,9,12,14,15,11,10,21,23,19,22,21,23,27,24,35,31,43,26,31,31,25,27,29,33,27,23,20,23,22,20,17,16,8,8,8,7,3,4,2,1,,,,,,,,,962
5107,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,,3,,,2,,,1,1,1,1,,,1,1,,1,,,,1,1,2,3,,1,2,,4,,,,1,2,3,2,4,1,1,2,2,2,3,2,1,4,4,6,4,10,3,4,4,2,5,4,2,2,4,2,8,3,1,3,1,5,2,,3,2,1,2,1,,1,,1,,,,,,,,,150
5108,13,1,,,,,,,,1,,,,,,,1,2,1,2,,,2,1,1,,1,1,2,,1,2,,,,2,,4,1,1,2,2,7,,3,1,2,3,2,4,1,6,6,3,10,6,4,5,9,14,10,7,11,11,5,16,6,16,13,11,11,12,20,20,15,13,23,18,27,24,21,18,19,31,22,17,21,16,21,12,15,12,12,11,2,6,5,5,4,4,,,,2,,,,,,,695
5109,42,,,,,,2,,,2,,2,3,1,1,2,4,1,1,4,4,3,2,3,3,4,1,2,5,2,,3,4,1,4,3,4,4,6,4,8,6,5,7,8,7,10,14,17,15,18,11,12,13,25,14,8,21,23,22,32,24,35,27,33,33,35,41,47,43,35,34,44,49,51,55,58,53,77,78,65,56,64,76,70,52,43,55,44,50,57,43,33,40,26,21,23,22,15,7,6,3,,,1,2,,,,,2149
