Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.112,muertes.118,muertes.121,muertes.Total 
3301,4,5,1,,,,,,,,,,,,,1,,1,1,,,1,,,,2,1,1,,,2,,2,1,,,1,1,,1,1,1,2,3,1,1,1,5,,1,2,,2,3,2,5,3,2,1,2,3,1,7,3,5,4,3,5,3,4,7,4,7,10,6,9,7,9,7,3,6,6,13,5,4,12,6,9,8,11,5,2,5,5,3,3,2,2,2,,,,,,,,,,,,,,,280
3302,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,1,,,3,,1,,1,,,3,1,,,,,,1,1,1,,1,1,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,26
3303,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,1,,,,,1,,1,1,2,,,,,,1,,,1,1,,,,,1,1,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,20
3304,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,1,2,,,1,,1,,,1,,2,1,1,,1,,2,,,3,2,1,2,2,,,,,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,34
4101,23,2,2,1,1,1,,2,1,1,,1,,,2,3,,2,2,,2,1,1,,3,1,4,2,1,,3,2,,,4,4,1,3,4,,6,4,2,3,4,5,4,5,4,9,7,8,4,6,7,7,7,5,16,12,8,14,11,16,12,10,10,14,14,16,19,17,25,27,21,25,25,20,29,25,15,20,20,19,25,13,29,24,29,14,18,11,16,16,9,6,4,4,9,2,4,1,,,1,1,,,,,,,,873
4102,27,,1,,,1,,1,2,,,2,,,,,,,1,2,,5,4,3,2,4,,4,1,2,3,1,2,2,3,5,,3,3,,3,5,6,8,4,4,5,2,4,9,5,4,3,8,14,9,5,6,7,6,15,11,13,17,17,12,12,17,19,12,13,14,18,21,15,30,20,18,18,23,19,18,19,25,17,25,21,18,16,13,15,13,8,8,7,4,2,5,6,2,4,4,,,,,,,,,,,,805
4103,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,,,,,,,,,,1,,1,,,1,,,1,1,1,,,,1,1,1,2,,1,,4,,1,,1,,,2,2,1,,2,2,1,3,6,1,2,2,1,3,2,3,3,2,4,,2,3,2,,1,,1,1,,,,,,,,,,,,,,,,,78
4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,1,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,12
4105,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,,1,,2,,1,,,,2,,1,,,,1,2,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,21
4106,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,1,,,,,1,,1,,,,,,3,,1,,1,2,2,2,2,,1,1,1,1,2,3,1,2,5,4,1,3,3,1,4,3,2,6,1,4,2,5,5,2,4,3,,,5,2,3,6,2,1,1,2,1,1,1,,,,,,,,,,,,,,123
4201,2,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,4,,1,1,1,1,,1,,,2,2,2,1,1,3,2,1,1,,1,1,1,3,2,4,1,2,3,4,4,8,3,9,5,3,4,6,5,4,5,3,7,12,6,8,1,2,6,8,5,5,4,6,2,2,,1,,2,1,1,1,,,,,,,,,,,,,191
4202,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,1,,1,,,,,,1,,,1,,,2,1,1,2,1,2,,2,,1,3,5,1,5,3,1,1,4,1,1,3,,3,,1,1,1,,,,,1,,,,,1,,,,,,,,,,,58
