Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.112,muertes.114,muertes.122,muertes.114,muertes.Total 
5604,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,2,1,,,1,,,,,1,1,1,3,,1,2,2,,1,,,4,3,2,3,4,1,1,,2,1,2,3,1,,4,1,2,3,1,3,2,2,1,1,,1,1,,1,,,,1,,,,,,,,,,,,,,71,
5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,2,,,1,1,2,2,1,,,1,2,2,,,,1,1,2,1,,,1,2,,,1,,2,,1,4,,2,,,,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,42,
5606,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,1,1,,,,,,,1,,1,1,,1,,,,,,,2,,,1,1,,,,2,2,2,1,1,1,1,,3,,,,1,,3,1,2,2,2,2,2,,1,3,,,,1,,,2,,,,,,1,1,1,,,,,,,,,,,53,
5701,8,,1,,,,,,,,1,,,2,,,,2,,,3,2,,1,2,,,,1,,5,1,3,2,2,1,2,,2,1,1,2,2,1,1,1,3,1,2,3,4,,1,1,1,3,3,5,7,3,7,1,7,4,4,5,7,7,9,7,7,9,4,13,8,10,8,10,11,10,15,15,6,16,15,6,11,5,6,12,12,8,12,3,2,3,5,1,2,2,,2,,1,,1,,,,,,,,,396,
5702,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,1,,1,,1,,1,,1,,,1,,,,2,1,,,1,2,1,,1,1,2,5,3,1,5,1,1,2,3,2,2,1,4,2,1,,4,3,2,1,2,1,,2,,1,2,,,1,,,,,,,,,,,,,,,73,
5703,6,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,1,,,,1,1,1,2,2,,,1,1,2,,,2,2,1,,1,1,2,1,3,,4,2,5,2,2,2,5,2,4,4,1,4,5,2,4,1,2,6,3,2,4,3,6,4,3,3,6,3,3,5,2,4,1,2,,2,,1,,1,1,,,,,,,,,,,,,,,,151,
5704,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,1,,,,1,,1,,1,1,,,1,,,1,,2,,,1,,2,1,2,2,2,1,2,2,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,35,
5705,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,,1,1,,1,,,2,1,,5,2,1,,,1,3,2,3,2,2,3,2,3,6,2,1,3,2,3,2,4,5,4,4,4,3,3,8,3,6,4,1,2,3,2,3,2,1,1,,1,,,1,,,,,,,,,,,,,,,126,
5706,2,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,,,2,2,3,,1,,,,4,1,3,1,2,1,2,1,4,2,5,1,7,3,3,2,2,3,3,2,2,1,1,4,,3,,1,,,,,,,,,,,,,,,,,,,80,
5801,8,,2,3,1,,,,1,,,1,,,,1,2,4,,1,3,1,1,2,1,1,1,1,2,4,,3,2,1,1,4,3,5,6,,1,5,1,2,3,4,3,5,4,2,6,7,3,10,8,16,7,5,7,12,9,10,7,14,11,10,13,14,27,12,26,21,27,18,20,21,23,28,30,30,37,50,26,37,37,37,37,21,26,15,27,29,22,14,9,9,10,10,1,2,4,2,4,,1,,,,,,,,,1,1016,
5802,4,,,,,1,,,,,1,,,,,,,,1,,1,,,1,2,,,,,2,,,,,1,1,1,1,,1,1,,,,3,1,1,,2,3,2,4,3,1,4,1,,5,3,3,2,4,3,4,6,7,4,10,10,6,5,6,8,8,5,7,16,9,12,13,7,10,14,14,7,9,9,12,14,5,8,6,8,2,3,2,3,1,1,3,1,2,,,1,,,,,,,,,,342,
5803,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,1,1,,,,,1,1,4,3,,,,1,,2,1,3,3,2,2,3,4,3,2,3,5,1,2,7,4,1,3,,1,2,4,3,4,,3,1,,1,,,,1,,1,,,,,,,,,,,,90,
5804,10,1,,,,,,,,,,1,1,,,1,,1,,3,2,3,,1,,,1,,3,,3,1,1,1,2,3,3,2,2,2,4,2,3,1,1,4,3,1,3,3,2,4,7,2,9,7,9,6,9,10,10,6,8,7,18,9,18,7,11,9,17,13,16,14,16,21,11,25,18,23,30,17,22,33,11,30,22,21,22,16,19,22,12,19,14,8,10,3,3,2,3,1,1,,,,,,,,,,,,756,
6101,33,4,2,3,,2,1,,,1,1,,,,1,,3,2,4,1,3,1,4,1,4,4,2,5,,5,4,4,2,5,6,6,1,5,6,4,7,4,5,11,11,4,9,8,12,10,13,11,20,10,14,11,11,15,11,17,14,9,17,29,36,24,20,25,24,28,34,28,29,33,25,28,30,23,34,38,34,49,34,34,27,23,38,31,26,33,22,22,17,17,9,9,8,,4,6,2,3,,1,,,,,,,,,,,1321,
6102,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,1,,,1,,1,,,,1,,,,1,,,,,,,,2,,1,1,1,1,,2,,1,,3,4,1,1,2,1,1,2,3,2,3,1,,2,2,2,2,2,3,1,2,,,1,,2,1,1,1,1,,,,,,,,,,,,,,,,,,65,
6103,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,,,,,,1,,1,,1,1,,2,,,,,,1,,3,,2,1,,,1,4,,1,2,4,1,,1,,,3,2,,2,1,,1,,,1,2,,,,,,,,,,,,,,,,,45,
6104,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,1,,,,1,,,,1,2,,1,,1,1,1,3,,2,2,3,,1,2,4,3,2,1,2,1,3,2,2,5,1,1,3,2,2,4,5,4,4,1,2,,4,2,4,2,4,2,2,5,3,1,,1,,1,1,1,1,,1,,,,,,1,,,,,,,,,119,
6105,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,1,,,2,1,,,,,,,2,1,,1,1,,2,3,,,2,2,1,,3,1,1,,2,2,3,3,3,3,5,3,2,2,2,1,1,3,2,2,6,4,1,5,1,3,2,4,,,3,2,2,1,,,,,,,,,1,,,,,,,,,,,102,
6106,3,,,,1,,,,,,,,,,,,,1,,,1,,,1,,,2,,,,1,2,,1,,1,,,1,,1,1,1,,2,2,1,1,,1,,3,1,2,1,1,1,1,1,5,1,4,5,1,4,,5,5,2,1,2,2,4,,3,2,2,4,4,7,2,3,1,6,6,8,1,3,2,,3,4,2,1,4,,,,1,,,,,,,,,,,,,,,,146,
6107,1,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,,,,,,,,,,1,,,,1,1,1,,,1,1,2,1,,2,1,,2,3,2,1,2,3,,2,2,5,3,3,3,3,,1,2,3,3,2,2,1,2,5,3,2,4,7,6,4,4,3,3,2,4,2,2,4,,3,1,1,1,,2,,,,,,,,,,,,,,,,,130,
6108,4,,,,,,,,,,,,,,,1,1,1,1,,,2,,,1,,,1,2,1,,,,1,1,,1,1,,,,3,1,1,1,,2,2,3,2,5,,1,2,2,1,4,2,3,4,,2,2,3,3,3,1,2,2,5,3,4,,4,3,2,2,5,3,5,3,6,9,6,5,4,6,2,7,2,1,1,1,2,2,,1,,,2,,,,,,,,,,,,,,,172,
6109,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,1,1,3,,1,3,1,,,1,,1,3,1,1,,2,1,2,1,4,2,1,1,,2,,3,2,1,5,,3,3,1,2,1,1,2,1,1,2,,1,,,,1,,,1,,,,,,,,,,,,,71,
6110,2,,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,1,1,1,1,1,,,1,2,,2,1,,,,1,3,,,2,,1,1,,1,,1,1,3,,2,2,1,2,2,2,4,2,3,1,2,6,3,4,5,1,3,2,1,2,2,2,4,4,4,1,2,1,1,4,1,2,,1,1,,2,,2,,,1,1,,,,,,,,,,,,,,117,
6111,3,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,,,,,,,1,1,,1,,2,1,,1,2,1,,,,,,3,2,2,1,1,1,,1,1,,1,1,1,2,1,,2,,,1,4,1,1,5,3,2,2,1,3,,,2,,,,1,1,,1,,,,,,,,,,,,,,,,,,,65,
6112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,,,,1,,,2,1,,1,1,,,,,,2,1,1,,,1,3,2,2,,2,5,1,4,1,2,3,3,2,1,2,1,4,4,2,5,1,3,5,,5,3,2,5,4,3,2,1,,,,,,,,1,,,,,,,,,,,,,100,
6113,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,1,,,,,1,1,,,,,1,1,,1,,1,,,1,,1,,1,1,,1,1,1,3,,2,1,1,1,1,,1,2,2,1,5,4,2,2,,4,,1,6,,,5,2,,4,4,10,4,4,1,4,4,5,2,,4,2,3,,,,,,1,,,,,1,,,,,,,,,,117,
6114,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,,2,,1,2,,1,,,1,2,,,1,2,1,,1,1,,1,1,2,1,,,,3,1,1,2,2,3,1,1,1,1,2,2,1,1,2,,2,1,2,4,3,2,2,1,1,,,,2,,,1,,,,,,,,,,,,,,,,69,
6115,6,,,,,,,,,,,,,1,,2,1,,1,2,2,,2,2,1,,1,1,1,,,1,,2,,1,1,1,,1,4,,,4,2,2,,2,,2,4,3,2,2,4,7,3,5,1,11,2,2,5,6,4,6,5,3,9,3,7,8,6,3,8,6,8,5,6,9,7,6,6,10,9,6,10,7,11,6,6,2,7,4,3,1,1,2,3,,,,,,,,,,,,,,,,306,
6116,2,,,1,1,,,,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,,,,,,2,,,,,,,,,3,1,1,4,1,1,2,2,1,2,1,3,4,,4,3,2,1,3,3,1,1,1,,3,6,2,5,3,1,3,4,5,5,2,10,4,,2,,4,2,2,2,,1,,,,,,,,1,1,,,,,,,,,,,,124,
6117,6,,,,,,,,1,,,,1,,,,,1,,,,1,1,,,,,,1,,2,,1,1,1,1,,1,1,1,,,2,2,3,3,,1,4,3,3,,2,,3,3,5,,5,1,1,6,2,3,4,5,3,1,5,4,8,3,4,8,8,7,3,7,7,12,10,7,9,7,7,10,11,2,8,7,11,3,3,4,5,1,3,1,,,,,,,,,,,,,,,,,271,
6201,,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,1,1,1,,2,,2,,3,2,1,,1,2,1,,,2,1,2,3,2,1,1,5,2,2,3,2,3,1,1,2,,1,4,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,75,
6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,1,,,,,,,,,1,2,,,1,1,1,,,,,,,1,,1,2,3,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,22,
6203,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,,1,,,1,1,,1,,1,1,,,1,,,,,,,1,1,1,1,,1,2,1,1,5,2,,,2,2,1,,,1,,2,1,,1,,,,,,,,,,,,,,,41,
6204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,,,,1,1,,,,1,,1,,2,1,1,,2,1,2,,1,3,3,4,1,1,2,,1,,,2,2,,4,2,2,3,1,,,,,,,,,,,,,,,,,,,,,49,
6205,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,1,,,1,1,,,,,,,1,,,,1,,,,1,,,1,,1,,,,1,,,,2,1,1,2,,1,1,1,1,1,,2,,,1,,1,1,1,1,,2,1,,4,1,,,2,2,1,,1,,,,,1,,,,,,,,,,,,,,,,45,
6206,2,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,1,1,,1,,,1,,1,,,,2,,2,1,,,,,1,,,,2,1,1,,,1,2,1,1,2,2,,1,2,1,,,,2,3,,2,,,2,,,,,,,,,,,,,,,,,,,44,
6301,8,1,,,,,,,,,,,,,,1,1,,1,,1,2,,1,3,1,,,,1,2,1,1,,1,,3,5,5,,1,5,2,4,1,5,5,4,2,2,2,1,5,2,5,1,4,3,10,7,3,6,5,7,10,5,7,6,7,5,7,7,10,2,5,10,8,14,10,10,15,11,15,14,14,13,8,6,6,6,13,3,4,3,4,5,2,2,4,1,1,,,,,,,,,,,,,,404,
6302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,1,1,1,,4,1,1,2,,,2,,1,,,,1,2,2,1,,1,1,4,3,3,2,1,3,1,4,2,2,2,1,1,3,1,5,1,,,,,3,1,2,1,,,,,,,,,,,,,,,,,72,
6303,4,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,1,1,2,,,1,1,1,2,1,1,1,,1,1,5,,,2,2,5,1,3,2,1,1,4,4,4,2,2,5,3,4,2,4,5,4,1,3,3,4,8,4,5,5,7,4,8,3,9,6,5,3,5,1,1,1,4,1,3,1,3,,2,,,,2,,,,,,,,,,,,,189,
6304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,4,,1,1,,1,1,,,1,3,,,,1,,1,2,,,,2,1,,1,2,2,,1,1,3,,,5,,2,1,2,5,1,3,,,1,,1,1,,,,,,,,,,,,,,,55,
6305,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,1,2,,1,1,,,,2,,2,2,5,1,4,2,1,2,,2,,5,1,4,4,3,2,2,1,2,,3,1,2,4,2,,3,2,,,2,1,4,,3,1,5,,1,2,2,,1,,,,1,1,1,,,,,,,,,,,,,100,
6306,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,1,,,,,,1,,,1,1,,1,,1,,,1,1,3,2,,,,1,,,1,2,2,2,1,,2,,1,1,1,,4,1,1,1,1,,,1,3,3,2,,,5,2,,1,1,1,,,,,,2,,,,,,,,,,,,,,,,,61,
6307,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,1,,,,,4,2,,3,2,2,1,1,,3,2,1,2,3,1,1,6,2,2,4,1,2,1,2,3,2,1,2,3,3,4,3,,,,1,,1,1,,,,,,,,,,,,,78,
6308,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,1,2,1,,1,,,1,2,1,1,1,,,1,1,1,2,2,,2,1,1,3,,,,2,1,,,,,1,,,1,,1,,,,,,,,,,,,,38,
6309,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,,,,1,,,,,,1,1,1,3,,,,1,,2,1,,1,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,21,
6310,2,,1,,,,,,,,,1,,,,,1,,,,,,,2,2,,,1,,,,1,,1,,1,,,,2,,1,1,,1,2,1,,1,2,4,1,2,1,3,3,2,6,3,2,,3,5,1,4,2,3,3,3,2,8,1,3,4,12,8,2,3,6,6,9,9,6,7,9,5,6,9,6,3,4,3,5,3,3,2,4,,,,1,,,,,,,,,,,,,,224,
7101,24,2,3,,1,2,,,,,1,,,1,,,1,1,1,1,5,3,3,3,2,2,3,1,4,3,4,2,2,2,1,2,5,5,1,9,6,4,2,5,7,8,3,2,13,9,10,9,7,10,16,15,13,15,25,14,11,16,14,13,18,25,25,16,22,24,25,29,19,22,28,32,32,29,34,40,41,36,35,36,30,38,28,30,27,25,22,18,17,16,14,11,9,7,7,4,,,,,1,,,,,,,,,,1219,
7102,8,,1,,,,,,,,,,,,,,,1,3,1,2,,,1,1,1,,,,,,,1,,,2,,1,1,3,1,,2,1,,2,3,2,4,2,2,3,3,3,6,5,1,1,2,2,2,3,1,7,5,5,3,7,5,7,3,6,2,5,4,6,1,7,6,6,7,7,9,3,6,9,3,7,8,2,2,3,1,2,1,,1,1,,,1,2,1,,,,,,,,,,,,239,
7103,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,1,3,1,,1,2,5,1,1,,1,,5,,3,2,,2,3,3,3,3,2,3,4,2,2,1,3,3,2,1,2,2,1,1,1,2,,1,1,,,,,,,,,,,,,,82,
7104,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,4,,,1,1,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,19,
7105,4,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,2,,,2,,,,,,1,2,,2,,1,2,1,3,1,1,1,,3,4,1,5,1,1,1,2,1,1,3,3,5,3,4,5,7,1,,6,5,4,5,4,2,2,4,6,3,4,3,2,5,4,5,,3,1,1,4,2,1,,,1,,,1,,,,,,,,,,,,,,155,
7106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,,,,,1,,,,1,,,,1,,1,1,,,,,1,2,3,2,,,3,1,1,1,,,,1,,2,1,2,1,1,1,2,1,1,1,,1,,,,,,,,,,,,,,,,,39,
7107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,1,,1,,,,1,,2,1,,1,1,,1,,1,,1,,1,1,,,1,1,2,,,3,1,1,,1,1,2,1,3,5,1,4,2,2,2,2,1,1,3,3,3,1,1,1,,1,,,,,,,,,,,,,,,,,,68,
7108,3,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,,,1,,1,,1,,,,,,,,,,,,1,1,,,1,,2,1,4,3,1,1,,2,2,,2,2,1,1,3,2,6,,3,1,3,2,4,1,3,4,1,3,1,,1,,,,,,,,,,,,,,,,,,,73,
7109,5,,,,,,,,,,,,,,,,,1,,1,1,,,2,,,,1,1,1,1,,1,,,1,1,1,2,1,1,,,,1,1,,1,2,,3,1,1,4,4,2,4,,3,2,2,5,2,3,2,2,5,2,6,6,5,7,2,4,,4,4,4,7,4,7,4,6,8,7,5,7,3,7,,3,6,3,3,,1,,1,,,,,1,,,,,,,,,,,,199,
7110,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,1,,1,,,,,,,,,,1,1,1,1,,,3,2,,2,1,1,1,3,,,,1,,,1,,1,,1,,1,1,,2,2,1,,2,,3,1,1,,,1,,,,,,,,,,,,,,,,,,45,
7201,,,,,,,,,,1,,,,,1,1,,1,,,2,2,2,,,2,,2,1,1,2,2,1,1,,,,,3,,,2,,2,1,,2,3,2,1,1,3,3,3,6,4,3,2,5,2,7,5,6,8,2,7,1,1,7,3,1,13,8,8,7,7,10,7,9,7,12,10,13,11,10,12,9,9,4,7,4,6,9,7,3,1,3,2,4,,1,,,,,,,,,,,,,,331,
7202,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,1,,3,,1,1,1,,,,4,,1,,,2,,,1,,3,3,1,3,,1,1,2,2,,,,,2,2,2,1,4,2,3,,1,3,5,2,,2,,,,1,,1,,,,,,,,,,,,,,,,66,
7203,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,1,,,1,,,,,,2,1,,,2,2,,1,,2,,1,,,1,,,1,1,2,1,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,29,
7301,15,,2,,,,1,,,1,,,1,,1,1,,1,1,2,,2,1,1,1,2,,1,1,5,1,,4,2,5,1,1,6,2,2,4,1,4,2,3,2,8,7,8,6,8,8,5,8,12,11,1,14,13,12,15,10,10,15,11,8,17,16,17,16,14,14,15,17,17,12,28,18,23,17,22,26,35,16,20,12,12,18,16,15,6,7,10,7,8,7,6,3,4,,2,,,,1,,,,,,1,,,,765,
7302,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,1,2,2,1,1,,,,,,,1,,1,3,2,,1,2,,1,1,3,1,3,3,2,,2,1,,1,2,1,1,2,3,1,4,5,,2,2,,,2,2,1,2,,,,,,,,,1,,,,,,,,,,72,
7303,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,1,3,,,,,,,,1,,,,,,,3,,1,2,2,2,1,1,,2,1,3,2,2,,3,1,,,,2,2,,1,,,1,,,,,,,,,,,,,,,,,43,
7304,5,,,1,,,,,,,,,,,2,,,,,1,,,,,2,2,1,,,,,,1,1,,1,3,,1,1,1,,2,3,2,2,2,,1,3,,3,4,2,3,6,6,1,,6,6,4,6,5,4,9,5,5,3,9,4,9,14,7,15,8,8,7,7,8,9,12,13,7,12,3,9,7,6,5,11,11,6,3,4,2,2,,1,,1,,,,,,,,,,,,,,336,
7305,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,1,,,1,1,,2,,1,,,,,,2,1,,2,1,1,1,2,,1,,1,1,1,3,1,2,5,3,1,,2,3,1,,2,,,1,2,1,,1,,,,,,,,,,,,,,,,,54,
7306,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,1,,,,3,,,1,,,3,,,,,,1,,3,1,,,1,2,,1,1,3,2,,1,1,1,1,,3,3,,,1,1,4,3,2,2,,2,,1,,,1,,,1,,1,,,,,,,,,,,,,,57,
7307,1,,1,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,,,,,,,,1,,,,1,,,1,3,2,,,,1,1,,2,2,2,1,,1,,1,,1,5,,1,5,,3,6,1,1,6,2,1,,2,3,2,2,7,5,2,2,3,1,3,2,3,3,2,2,1,1,,1,,,,,,1,,,,,,,,,,,,,105,
7308,2,,,,,,,,,,,,,,,,1,,,,,,,,2,,1,,,,,1,,1,,1,,1,,,,,1,1,1,,1,1,1,2,3,,2,1,2,2,4,2,1,3,1,,4,3,2,2,6,1,,3,2,1,1,1,1,4,3,7,2,5,4,2,3,2,2,4,4,6,1,3,2,,2,1,3,1,1,,,,,,,,,,,,,,,,,,128,
7309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,2,,1,,,1,,,,,,,1,1,,1,,,1,1,2,,,,4,,,,,,,1,,,,,1,,,,,,,,,,,,,,21,
7401,16,,,,,,,,1,,,,,,1,1,1,1,1,1,,1,,2,2,1,2,2,2,2,1,1,4,2,1,2,3,3,3,2,,2,4,4,2,2,5,3,7,2,8,6,8,3,2,2,6,5,2,8,6,10,6,10,9,11,11,11,12,13,20,7,12,8,16,17,20,15,20,15,12,20,28,19,15,11,21,17,14,13,14,13,9,5,4,5,5,3,3,3,1,1,,,,,,,,,,,,,625,
7402,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,1,,1,,,,1,,,1,1,,,1,1,,1,1,1,,,,,,2,1,,2,1,1,4,1,3,1,2,2,2,,,4,,1,4,1,3,3,2,2,1,2,3,2,2,3,3,2,8,5,1,7,2,5,1,3,,1,,1,,1,1,,,,,,,,,,,,,,,,110,
7403,3,1,1,,,,,,,,,,,,,1,,,3,1,,,,,1,1,,,1,3,,,,1,2,1,,1,,1,3,,2,2,3,1,1,3,,2,,1,1,4,,4,3,3,2,2,3,,2,,5,6,4,6,4,4,3,7,5,3,1,7,4,2,3,6,5,4,5,5,9,4,8,3,1,6,4,4,2,2,2,2,,2,,1,1,,,,,,,,,,,,,,204,
7404,5,,,,,,,,,,,,1,1,1,,1,,1,,,4,1,1,1,2,2,1,3,,,,,1,1,1,,,,1,2,3,2,3,2,,1,2,1,1,6,3,1,1,1,6,,6,5,4,2,2,6,3,5,7,6,2,9,6,4,7,5,4,7,5,6,10,7,14,7,9,8,12,9,3,8,8,7,4,5,3,7,2,5,4,1,2,1,1,,,,,,,,,,,,,,,302,
7405,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,2,,,,2,,,,1,,,1,1,,,2,,1,,,2,,2,,2,,1,,1,,2,1,1,3,2,3,2,2,3,3,3,3,2,2,3,10,4,4,4,4,4,7,3,1,3,2,,1,1,1,2,1,,1,,,,1,,,,,,,,,,,,112,
7406,3,,,,,,,,,,,,,,,1,,1,,,,,,,2,,,,,,,2,,,1,1,2,,2,1,2,1,2,1,2,1,2,2,1,2,3,4,1,2,2,5,2,2,3,2,5,1,6,4,3,2,4,6,2,4,2,5,4,4,12,8,5,3,10,8,11,7,7,6,11,9,8,11,5,4,3,4,7,,2,3,6,3,1,,1,,,,,,,,,,,,,,265,
7407,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,1,,,1,1,,1,,1,,,2,,2,,2,2,,2,1,1,2,2,1,2,1,2,2,3,,2,4,3,3,2,2,3,3,3,4,8,5,6,4,2,2,2,1,,1,3,1,2,2,1,,,,,,,1,,,,,,,,,,,,105,
7408,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,1,,,,,,,,,1,,,1,1,1,1,1,,3,1,,1,,1,1,4,,1,,2,2,4,1,2,2,1,1,,1,6,3,,5,3,3,2,1,4,3,2,3,,4,,1,1,1,1,,,1,1,,,2,1,1,,,,,,,,,,,,,,,,88,
8101,22,2,1,2,,1,,1,1,,3,,1,3,2,1,2,2,2,1,2,1,3,1,2,4,,2,4,2,7,2,1,1,3,3,7,2,4,3,2,5,5,5,11,9,6,9,7,8,11,6,8,9,9,9,14,11,18,18,18,14,15,16,29,25,21,21,22,23,20,22,28,26,22,35,18,26,29,34,34,46,40,44,28,34,32,26,36,36,21,23,17,24,16,13,12,11,7,4,2,1,3,,,2,,,,,,,,,1257,
